planet,bin,median_p_sign,n
graded_floor_v3,<=0.25,0.859375,15
graded_floor_v3,0.25-0.5,0.8109375,22
graded_floor_v3,0.5-0.75,0.952083333333334,12
graded_floor_v3,0.75-1,0.966666666666667,5
graded_floor_v3,>1,0.983333333333333,19
graded_balanced_v1,<=0.25,0.5453125,19
graded_balanced_v1,0.25-0.5,0.79453125,26
graded_balanced_v1,0.5-0.75,0.716666666666667,8
graded_balanced_v1,0.75-1,0.95,5
graded_balanced_v1,>1,0.979166666666667,15
graded_balanced_v2,<=0.25,0.6140625,24
graded_balanced_v2,0.25-0.5,0.671614583333334,20
graded_balanced_v2,0.5-0.75,0.821354166666667,9
graded_balanced_v2,0.75-1,0.634375,5
graded_balanced_v2,>1,0.9390625,15
graded_balanced_v3,<=0.25,0.509895833333333,27
graded_balanced_v3,0.25-0.5,0.558333333333334,20
graded_balanced_v3,0.5-0.75,0.344791666666667,7
graded_balanced_v3,0.75-1,0.9015625,5
graded_balanced_v3,>1,0.888020833333333,14
graded_balanced_v1_reversed,<=0.25,0.478645833333333,27
graded_balanced_v1_reversed,0.25-0.5,0.578125,17
graded_balanced_v1_reversed,0.5-0.75,0.792447916666666,6
graded_balanced_v1_reversed,0.75-1,0.849479166666667,6
graded_balanced_v1_reversed,>1,0.959375,17
graded_balanced_v3_noise2,<=0.25,0.552604166666667,27
graded_balanced_v3_noise2,0.25-0.5,0.6703125,20
graded_balanced_v3_noise2,0.5-0.75,0.407291666666667,7
graded_balanced_v3_noise2,0.75-1,0.846875,5
graded_balanced_v3_noise2,>1,0.913541666666666,14
