planet,Study_area,win_start,n_months,truth_trend_cmyr
pilot_uniform_depletion_v2,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2002,114,-0.8843378350832247
pilot_uniform_depletion_v2,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2003,113,-0.8319452460777825
pilot_uniform_depletion_v2,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2004,111,-0.7486213649570056
pilot_uniform_depletion_v2,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2005,109,-0.627652724391383
pilot_uniform_depletion_v2,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2006,105,-0.5427351080958052
pilot_uniform_depletion_v2,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2007,101,-0.6643632422339458
pilot_uniform_depletion_v2,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2008,92,-0.5774392069528619
pilot_uniform_depletion_v2,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2009,88,-0.9031983169559531
pilot_uniform_depletion_v2,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2010,88,-1.1805044919087386
pilot_uniform_depletion_v2,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2011,89,-1.544591682857126
pilot_uniform_depletion_v2,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2012,91,-2.1729803555413354
pilot_uniform_depletion_v2,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2013,94,-2.296502273682087
pilot_uniform_depletion_v2,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2014,97,-2.0582843700846274
pilot_uniform_depletion_v2,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2015,99,-2.0501946695986377
pilot_uniform_depletion_v2,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2016,100,-1.656187507359323
pilot_uniform_depletion_v2,Northern Guarani Aquifer (Guarani Aquifer System),2002,114,-0.8003734943079178
pilot_uniform_depletion_v2,Northern Guarani Aquifer (Guarani Aquifer System),2003,113,-0.8255453991583235
pilot_uniform_depletion_v2,Northern Guarani Aquifer (Guarani Aquifer System),2004,111,-0.8230023498701499
