aquifer_idx,Study_area,win_start,n_recipes,frac_pos,med_trend_cmyr,spans
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2002,1920,0.48072916666666665,-0.012483772655115265,True
1,Northern Guarani Aquifer (Guarani Aquifer System),2002,1920,0.5979166666666667,0.07313124019742942,True
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),2002,1920,0.053125,-0.5578985337321036,True
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2002,1920,0.11354166666666667,-0.3676689519529491,True
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2002,1920,0.99375,0.44222991613816454,True
5,Eastern Eromanga Basin (Great Artesian Basin),2002,1920,0.9140625,0.7682334020316213,True
6,Northern Eromanga Basin (Great Artesian Basin),2002,1920,0.9916666666666667,1.4426730598102355,True
7,Northern High Plains (High Plains),2002,1920,0.8609375,0.6716124047958061,True
8,Williston Basin (Northern Great Plains),2002,1920,0.7520833333333333,0.3596910467852188,True
9,Central Eromanga Depocenter (Great Artesian Basin),2002,1920,0.5161458333333333,0.040183056142452024,True
10,Western Parecis Basin (Parecis Basin),2002,1920,0.42083333333333334,-0.08277523216857977,True
11,Upper Gangetic Plain (Indo-Gangetic Plain),2002,1920,0.7739583333333333,0.38640950141491986,True
12,Stampriet Kalahari Karoo Aquifer System,2002,1920,0.8015625,0.5195298103569344,True
13,Northcentral Mega Aquifer System (Mega Aquifer System),2002,1920,0.18125,-0.50045226441165,True
14,Ozark Plateaus Aquifer System,2002,1920,0.2942708333333333,-0.3293485596469787,True
15,Western Karoo Basin (Main Karoo Basin),2002,1920,0.9479166666666666,0.8550965837305602,True
16,Middle Gangetic Plain (Indo-Gangetic Plain),2002,1920,0.018229166666666668,-0.8291760407994273,True
17,Northern Mega Aquifer System (Mega Aquifer System),2002,1920,0.3776041666666667,-0.2634014697638861,True
18,Canning Basin,2002,1920,0.13020833333333334,-0.40079629711773435,True
19,Central Karoo Basin (Main Karoo Basin),2002,1920,0.671875,0.27904561267454386,True
20,Southern Carpentaria Basin (Great Artesian Basin),2002,1920,0.9572916666666667,0.8012294811814056,True
21,Eastern Parecis Basin (Parecis Basin),2002,1920,0.3807291666666667,-0.18327836392602898,True
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),2002,1920,0.3020833333333333,-0.2718325164615894,True
23,Wiso Basin (Daly-Wiso-Georgina Basins),2002,1920,0.7838541666666666,0.341841918367613,True
24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),2002,1920,0.8875,0.5929216747560038,True
25,Dakota Aquifer System,2002,1920,0.8494791666666667,0.7154283673650521,True
26,Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),2002,1920,0.8072916666666666,0.3114026853708981,True
27,Trans Gangetic Plain (Indo-Gangetic Plain),2002,1920,0.5515625,0.05716980159187392,True
28,Southcentral Mega Aquifer System (Mega Aquifer System),2002,1920,0.48333333333333334,-0.016314371725205168,True
29,Central Mississippi Embayment (Mississippi Embayment),2002,1920,0.2,-0.6445536489831158,True
30,Northern Karoo Basin (Main Karoo Basin),2002,1920,0.8182291666666667,0.6243269420296598,True
31,Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),2002,1920,0.9182291666666667,0.8588090316360855,True
32,Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),2002,1920,0.4666666666666667,-0.035948199849102094,True
33,Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),2002,1920,0.5479166666666667,0.0926037315720718,True
34,Central Huaihe Plain (Huaihe River Basin),2002,1920,0.31927083333333334,-0.49619961978994453,True
35,Central Minnesota Surficial and Buried Sand and Gravel Aquifers,2002,1920,0.7552083333333334,0.5903227380225904,True
36,Southern High Plains (High Plains),2002,1920,0.30104166666666665,-0.49160114999859755,True
37,Southcentral Karoo Basin (Main Karoo Basin),2002,1920,0.9473958333333333,0.8769839699509715,True
38,Central High Plains (High Plains),2002,1920,0.44166666666666665,-0.14406938625113852,True
39,Lower Liaohe River Plain (Liaohe River Basin),2002,1920,0.36822916666666666,-0.1998101125454806,True
40,Wadi As-Sirhan Basin,2002,1920,0.3645833333333333,-0.16096823497811788,True
