aquifer_idx,Study_area,win_start,n_recipes,frac_pos,med_trend_cmyr,spans
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2002,1920,0.367188,-0.100301,True
1,Northern Guarani Aquifer (Guarani Aquifer System),2002,1920,0.146875,-0.191994,True
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),2002,1920,0.220312,-0.338797,True
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2002,1920,0.665104,0.100368,True
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2002,1920,0.647396,0.2466,True
5,Eastern Eromanga Basin (Great Artesian Basin),2002,1920,0.809375,0.625762,True
6,Northern Eromanga Basin (Great Artesian Basin),2002,1920,0.834896,0.598666,True
7,Northern High Plains (High Plains),2002,1920,0.870833,0.680144,True
8,Williston Basin (Northern Great Plains),2002,1920,0.558333,0.0938548,True
9,Central Eromanga Depocenter (Great Artesian Basin),2002,1920,0.833333,0.660117,True
10,Western Parecis Basin (Parecis Basin),2002,1920,0.468229,-0.0570093,True
11,Upper Gangetic Plain (Indo-Gangetic Plain),2002,1920,0.557813,0.0865178,True
12,Stampriet Kalahari Karoo Aquifer System,2002,1920,0.740104,0.486878,True
13,Northcentral Mega Aquifer System (Mega Aquifer System),2002,1920,0.173437,-0.295435,True
14,Ozark Plateaus Aquifer System,2002,1920,0.622396,0.176525,True
15,Western Karoo Basin (Main Karoo Basin),2002,1920,0.464583,-0.0329025,True
16,Middle Gangetic Plain (Indo-Gangetic Plain),2002,1920,0.205208,-0.327049,True
17,Northern Mega Aquifer System (Mega Aquifer System),2002,1920,0.238542,-0.281389,True
18,Canning Basin,2002,1920,0.7,0.145711,True
19,Central Karoo Basin (Main Karoo Basin),2002,1920,0.565625,0.0564493,True
20,Southern Carpentaria Basin (Great Artesian Basin),2002,1920,0.761458,0.383767,True
21,Eastern Parecis Basin (Parecis Basin),2002,1920,0.202604,-0.424632,True
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),2002,1920,0.900521,0.446872,True
23,Wiso Basin (Daly-Wiso-Georgina Basins),2002,1920,0.609896,0.195336,True
24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),2002,1920,0.729688,0.440466,True
25,Dakota Aquifer System,2002,1920,0.773958,0.358182,True
26,Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),2002,1920,0.726562,0.212949,True
27,Trans Gangetic Plain (Indo-Gangetic Plain),2002,1920,0.613542,0.128804,True
28,Southcentral Mega Aquifer System (Mega Aquifer System),2002,1920,0.377604,-0.103036,True
29,Central Mississippi Embayment (Mississippi Embayment),2002,1920,0.198437,-0.378709,True
30,Northern Karoo Basin (Main Karoo Basin),2002,1920,0.664583,0.254325,True
31,Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),2002,1920,0.445312,-0.0873365,True
32,Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),2002,1920,0.571875,0.0780077,True
33,Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),2002,1920,0.341146,-0.139041,True
34,Central Huaihe Plain (Huaihe River Basin),2002,1920,0.155208,-0.497153,True
35,Central Minnesota Surficial and Buried Sand and Gravel Aquifers,2002,1920,0.3375,-0.307885,True
36,Southern High Plains (High Plains),2002,1920,0.341667,-0.34667,True
37,Southcentral Karoo Basin (Main Karoo Basin),2002,1920,0.157292,-0.585823,True
38,Central High Plains (High Plains),2002,1920,0.375521,-0.232187,True
39,Lower Liaohe River Plain (Liaohe River Basin),2002,1920,0.650521,0.157887,True
