aquifer_idx,Study_area,win_start,n_recipes,frac_pos,med_trend_cmyr,spans
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2002,1920,0.108333,-0.417798,True
1,Northern Guarani Aquifer (Guarani Aquifer System),2002,1920,0.197396,-0.336561,True
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),2002,1920,0.0119792,-0.872844,True
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2002,1920,0.438021,-0.0406398,True
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2002,1920,0.610938,0.0751573,True
5,Eastern Eromanga Basin (Great Artesian Basin),2002,1920,0.720313,0.430805,True
6,Northern Eromanga Basin (Great Artesian Basin),2002,1920,0.885417,0.485251,True
7,Northern High Plains (High Plains),2002,1920,0.473958,-0.0259835,True
8,Williston Basin (Northern Great Plains),2002,1920,0.579167,0.0719752,True
9,Central Eromanga Depocenter (Great Artesian Basin),2002,1920,0.991667,0.85693,True
10,Western Parecis Basin (Parecis Basin),2002,1920,0.133333,-0.391324,True
11,Upper Gangetic Plain (Indo-Gangetic Plain),2002,1920,0.120833,-0.679939,True
12,Stampriet Kalahari Karoo Aquifer System,2002,1920,0.821875,0.265851,True
13,Northcentral Mega Aquifer System (Mega Aquifer System),2002,1920,0.0666667,-0.942317,True
14,Ozark Plateaus Aquifer System,2002,1920,0.335938,-0.257411,True
15,Western Karoo Basin (Main Karoo Basin),2002,1920,0.179167,-0.399799,True
16,Middle Gangetic Plain (Indo-Gangetic Plain),2002,1920,0.279167,-0.558223,True
17,Northern Mega Aquifer System (Mega Aquifer System),2002,1920,0.00208333,-0.946459,True
18,Canning Basin,2002,1920,0.380729,-0.144084,True
19,Central Karoo Basin (Main Karoo Basin),2002,1920,0.345833,-0.189035,True
20,Southern Carpentaria Basin (Great Artesian Basin),2002,1920,0.729688,0.293308,True
21,Eastern Parecis Basin (Parecis Basin),2002,1920,0.410417,-0.0833622,True
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),2002,1920,0.0927083,-0.340309,True
23,Wiso Basin (Daly-Wiso-Georgina Basins),2002,1920,0.448437,-0.0603679,True
24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),2002,1920,0.321875,-0.151186,True
25,Dakota Aquifer System,2002,1920,0.401042,-0.190383,True
26,Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),2002,1920,0.154167,-0.406155,True
27,Trans Gangetic Plain (Indo-Gangetic Plain),2002,1920,0.025,-0.59793,True
28,Southcentral Mega Aquifer System (Mega Aquifer System),2002,1920,0.261458,-0.342252,True
29,Central Mississippi Embayment (Mississippi Embayment),2002,1920,0.0166667,-1.49267,True
30,Northern Karoo Basin (Main Karoo Basin),2002,1920,0.3125,-0.17261,True
31,Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),2002,1920,0.264062,-0.424521,True
32,Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),2002,1920,0.479687,-0.0210481,True
33,Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),2002,1920,0.154167,-0.476521,True
34,Central Huaihe Plain (Huaihe River Basin),2002,1920,0.132812,-0.498507,True
35,Central Minnesota Surficial and Buried Sand and Gravel Aquifers,2002,1920,0.315625,-0.424438,True
36,Southern High Plains (High Plains),2002,1920,0.456771,-0.0726088,True
37,Southcentral Karoo Basin (Main Karoo Basin),2002,1920,0.0723958,-0.475677,True
38,Central High Plains (High Plains),2002,1920,0.585417,0.121529,True
39,Lower Liaohe River Plain (Liaohe River Basin),2002,1920,0.194792,-0.286128,True
40,Wadi As-Sirhan Basin,2002,1920,0.0520833,-0.777581,True
41,Eastern Saq Aquifer (Ram-Saq Aquifer System),2002,1920,0.0333333,-0.870756,True
42,Trinity Aquifer System (Edwards-Trinity Aquifer System),2002,1920,0.245833,-0.52278,True
43,Wisconsin Precambrian Aquifer,2002,1920,0.341667,-0.215401,True
44,Lafayette Area (Gulf Coast Regional Aquifer System),2002,1920,0,-0.989086,False
45,Paskapoo-Scollard,2002,1920,0.73125,0.406018,True
46,Western Surat Basin (Great Artesian Basin),2002,1920,0.742188,0.476654,True
47,Coonamble Embayment (Great Artesian Basin),2002,1920,0.916667,0.852086,True
48,Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),2002,1920,0.904167,0.703253,True
49,Wuyuer-Shuangyang System (Songnen Plain),2002,1920,0.357812,-0.138282,True
50,Powder River Basin (Northern Great Plains),2002,1920,0.604167,0.295462,True
51,Central Eucla Basin (Eucla Basin),2002,1920,0.425,-0.073446,True
52,Rio Grande Delta (Gulf Coast Regional Aquifer System),2002,1920,0.53125,0.0263021,True
53,Michigan Basin,2002,1920,0.472396,-0.0296903,True
54,Southern Piedmont Upland (Piedmont Plateau),2002,1920,0.0333333,-1.27926,True
55,Eastern Huaihe Plain (Huaihe River Basin),2002,1920,0.152604,-0.5285,True
56,Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),2002,1920,0.333333,-0.284056,True
57,Eastern Mississippi Embayment (Mississippi Embayment),2002,1920,0.05,-1.23024,True
58,Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),2002,1920,0.281771,-0.530542,True
59,Southeastern System (Amadeus Basin),2002,1920,0.489063,-0.00709602,True
60,Edwards Plateau (Edwards-Trinity Aquifer System),2002,1920,0.0453125,-1.23799,True
61,Southcentral Deccan Basalt Plateau (Deccan Plateau),2002,1920,0.0791667,-0.826388,True
62,Eastside Lower Indus Valley (Indus Basin),2002,1920,0.734375,0.2739,True
63,Central Piedmont Upland (Piedmont Plateau),2002,1920,0.176042,-0.700786,True
64,Eastern Carrizo-Wilcox (Carrizo-Wilcox),2002,1920,0.1625,-0.855723,True
65,Jiangsu Coastal Plain (Huaihe River Basin),2002,1920,0.130729,-0.391711,True
66,Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),2002,1920,0.334375,-0.349162,True
67,Northcentral Deccan Basalt Plateau (Deccan Plateau),2002,1920,0.0125,-0.895243,True
68,Eastside Middle Indus Plain (Indus Basin),2002,1920,0.805729,0.464937,True
69,Central Allegheny Plateau (Appalachian Plateaus),2002,1920,0.239583,-0.403232,True
70,Northeastern Karoo Basin (Main Karoo Basin),2002,1920,0.699479,0.269101,True
71,Southern Riverine Plains (Murray Basin),2002,1920,0.86875,0.554068,True
72,Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),2002,1920,0.0708333,-1.2108,True
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),2003,1920,0.053125,-0.59193,True
1,Northern Guarani Aquifer (Guarani Aquifer System),2003,1920,0.103646,-0.433788,True
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),2003,1920,0.0317708,-0.716844,True
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),2003,1920,0.0786458,-0.568384,True
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2003,1920,0.720313,0.34372,True
5,Eastern Eromanga Basin (Great Artesian Basin),2003,1920,0.742188,0.367201,True
6,Northern Eromanga Basin (Great Artesian Basin),2003,1920,0.635417,0.158881,True
7,Northern High Plains (High Plains),2003,1920,0.131771,-0.656662,True
8,Williston Basin (Northern Great Plains),2003,1920,0.441667,-0.0654206,True
9,Central Eromanga Depocenter (Great Artesian Basin),2003,1920,0.938021,0.511217,True
10,Western Parecis Basin (Parecis Basin),2003,1920,0.0552083,-0.709777,True
11,Upper Gangetic Plain (Indo-Gangetic Plain),2003,1920,0.084375,-0.765025,True
12,Stampriet Kalahari Karoo Aquifer System,2003,1920,0.583333,0.0816137,True
13,Northcentral Mega Aquifer System (Mega Aquifer System),2003,1920,0.0682292,-1.035,True
14,Ozark Plateaus Aquifer System,2003,1920,0.264583,-0.537237,True
15,Western Karoo Basin (Main Karoo Basin),2003,1920,0.078125,-0.591902,True
16,Middle Gangetic Plain (Indo-Gangetic Plain),2003,1920,0.195833,-0.760635,True
17,Northern Mega Aquifer System (Mega Aquifer System),2003,1920,0.0697917,-0.941172,True
18,Canning Basin,2003,1920,0.464583,-0.0258156,True
19,Central Karoo Basin (Main Karoo Basin),2003,1920,0.400521,-0.0788892,True
20,Southern Carpentaria Basin (Great Artesian Basin),2003,1920,0.616667,0.174201,True
21,Eastern Parecis Basin (Parecis Basin),2003,1920,0.372396,-0.15577,True
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),2003,1920,0.149479,-0.475358,True
23,Wiso Basin (Daly-Wiso-Georgina Basins),2003,1920,0.497917,-0.00122997,True
24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),2003,1920,0.131771,-0.440547,True
25,Dakota Aquifer System,2003,1920,0.240625,-0.408145,True
26,Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),2003,1920,0.233333,-0.283796,True
27,Trans Gangetic Plain (Indo-Gangetic Plain),2003,1920,0.135417,-0.37048,True
