dataset,window,n_aq,n_paradox,spans_zero_pct,paradox10_pct
real_earth,w_full,73,56,76.7123287671233,54.7945205479452
real_earth,w_grace,73,54,73.972602739726,45.2054794520548
real_earth,w_fo,73,19,26.027397260274,12.3287671232877
pilot_uniform_depletion_v2,w_full,73,57,78.0821917808219,35.6164383561644
pilot_uniform_depletion_v2,w_grace,73,71,97.2602739726027,69.8630136986301
pilot_uniform_depletion_v2,w_fo,73,65,89.041095890411,63.013698630137
graded_floor_v2,w_full,73,71,97.2602739726027,80.8219178082192
graded_floor_v2,w_grace,73,72,98.6301369863014,95.8904109589041
graded_floor_v2,w_fo,73,66,90.4109589041096,67.1232876712329
graded_floor_v3,w_full,73,61,83.5616438356164,43.8356164383562
graded_floor_v3,w_grace,73,70,95.8904109589041,71.2328767123288
graded_floor_v3,w_fo,73,68,93.1506849315068,73.972602739726
