aquifer_idx,study_area,tau_true,n_recipes,median_rec,q25,q75,frac_neg,frac_pos,p_sign,bias,brackets,sign_recovered_by_median
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),0.000659850886146218,1920,-0.212259228187273,-0.314643345752075,-0.0390091048625801,0.784375,0.215625,0.215625,-0.212919079073419,FALSE,FALSE
1,Northern Guarani Aquifer (Guarani Aquifer System),-0.264081695673643,1920,-0.225198760203436,-0.291232287207103,-0.128633279848582,0.902604166666667,0.0973958333333333,0.902604166666667,0.0388829354702072,TRUE,TRUE
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),-0.520806321315074,1920,-0.338265630345522,-0.49406770164882,-0.213733064695524,0.944791666666667,0.0552083333333333,0.944791666666667,0.182540690969552,FALSE,TRUE
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),0.92369743572015,1920,0.342588225969298,0.199310181722229,0.637535509695808,0,1,1,-0.581109209750853,FALSE,TRUE
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),-0.157384543857651,1920,0.300246308220932,0.196710541322419,0.38747525300786,0.1203125,0.8796875,0.1203125,0.457630852078583,FALSE,FALSE
5,Eastern Eromanga Basin (Great Artesian Basin),0.907372663817797,1920,0.82522655750122,0.615020078938536,1.08289798431525,0,1,1,-0.0821461063165768,TRUE,TRUE
6,Northern Eromanga Basin (Great Artesian Basin),2.26220283475238,1920,1.07728880094842,0.78844447112394,1.68171331774057,0,1,1,-1.18491403380395,FALSE,TRUE
7,Northern High Plains (High Plains),-0.345492776539465,1920,-0.109864830626831,-0.327366406770744,0.0828416084713894,0.641666666666667,0.358333333333333,0.641666666666667,0.235627945912635,FALSE,TRUE
8,Williston Basin (Northern Great Plains),-0.709058974803487,1920,-0.867687366705685,-1.23204299118023,-0.576590188529697,0.99375,0.00625,0.99375,-0.158628391902198,TRUE,TRUE
9,Central Eromanga Depocenter (Great Artesian Basin),1.78619266244317,1920,0.964263786109216,0.708288266876457,1.32587004599895,0,1,1,-0.821928876333953,FALSE,TRUE
10,Western Parecis Basin (Parecis Basin),0.531402460296749,1920,-0.0559983837636979,-0.13630529418383,0.121072390574033,0.615625,0.384375,0.384375,-0.587400844060447,FALSE,FALSE
11,Upper Gangetic Plain (Indo-Gangetic Plain),-1.37698394258019,1920,-0.489396261256003,-0.711083897556749,-0.342789247433255,1,0,1,0.887587681324188,FALSE,TRUE
12,Stampriet Kalahari Karoo Aquifer System,-0.268918813275594,1920,-0.322041159100366,-0.433092049324667,-0.241733306271157,1,0,1,-0.0531223458247718,TRUE,TRUE
13,Northcentral Mega Aquifer System (Mega Aquifer System),0.0758245089768419,1920,-0.0139889201493777,-0.0932996448704468,0.101633799714527,0.538541666666667,0.461458333333333,0.461458333333333,-0.0898134291262196,TRUE,FALSE
14,Ozark Plateaus Aquifer System,-1.57507627266309,1920,-0.3112593671277,-0.677686475157417,-0.0505046100338231,0.819270833333333,0.180729166666667,0.819270833333333,1.26381690553539,FALSE,TRUE
15,Western Karoo Basin (Main Karoo Basin),-2.53051296138358,1920,-0.853993005813836,-1.23134410870982,-0.622939471850711,1,0,1,1.67651995556974,FALSE,TRUE
16,Middle Gangetic Plain (Indo-Gangetic Plain),-0.197005298376954,1920,-0.276001807520494,-0.361251000866462,-0.122091184706863,0.879166666666667,0.120833333333333,0.879166666666667,-0.07899650914354,TRUE,TRUE
17,Northern Mega Aquifer System (Mega Aquifer System),-0.114684253788279,1920,-0.0658480571588659,-0.143714058948416,0.0269436860070511,0.68125,0.31875,0.68125,0.0488361966294127,TRUE,TRUE
18,Canning Basin,0.336128670546776,1920,0.0113606493607419,-0.0721464481967305,0.177974102249836,0.473958333333333,0.526041666666667,0.526041666666667,-0.324768021186034,FALSE,TRUE
19,Central Karoo Basin (Main Karoo Basin),-0.28408544263965,1920,-0.341116147193353,-0.427080708873264,-0.234032434788202,0.909375,0.090625,0.909375,-0.0570307045537037,TRUE,TRUE
20,Southern Carpentaria Basin (Great Artesian Basin),0.22045165252974,1920,0.440674656929567,0.239043473084937,0.57949492561814,0.0328125,0.9671875,0.9671875,0.220223004399827,FALSE,TRUE
21,Eastern Parecis Basin (Parecis Basin),0.562247712833095,1920,0.0360845636539456,-0.0846040389861653,0.215278333988528,0.433333333333333,0.566666666666667,0.566666666666667,-0.526163149179149,FALSE,TRUE
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),-0.438463740943742,1920,-0.128673198650195,-0.196703760561625,-0.0508727703142522,0.8234375,0.1765625,0.8234375,0.309790542293547,FALSE,TRUE
23,Wiso Basin (Daly-Wiso-Georgina Basins),0.443389962468743,1920,0.125340914012416,0.0359468281345119,0.267180020900568,0.178645833333333,0.821354166666667,0.821354166666667,-0.318049048456326,FALSE,TRUE
24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),-0.137906324764261,1920,0.0684626825596878,-0.03908148339241,0.165830547006613,0.330729166666667,0.669270833333333,0.330729166666667,0.206369007323949,FALSE,FALSE
25,Dakota Aquifer System,-0.309688216907437,1920,-0.469333297335784,-0.742956912557352,-0.211403925957035,0.904166666666667,0.0958333333333333,0.904166666666667,-0.159645080428347,TRUE,TRUE
26,Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),-0.123862777485553,1920,0.0252609272552194,-0.101786489496399,0.136628237330081,0.444270833333333,0.555729166666667,0.444270833333333,0.149123704740772,FALSE,FALSE
27,Trans Gangetic Plain (Indo-Gangetic Plain),-0.727227866395839,1920,-0.323330374805686,-0.447412549974273,-0.180971168505524,0.9125,0.0875,0.9125,0.403897491590152,FALSE,TRUE
28,Southcentral Mega Aquifer System (Mega Aquifer System),0.30192023286335,1920,-0.0121213038967754,-0.0826362869496492,0.0649566004551545,0.542708333333333,0.457291666666667,0.457291666666667,-0.314041536760125,FALSE,FALSE
29,Central Mississippi Embayment (Mississippi Embayment),1.52544945872036,1920,0.414642621920324,0.242303377878582,0.652246325635755,0.138020833333333,0.861979166666667,0.861979166666667,-1.11080683680004,FALSE,TRUE
30,Northern Karoo Basin (Main Karoo Basin),-0.489189748592837,1920,-0.427767647359372,-0.559193061868266,-0.316579914243293,0.93125,0.06875,0.93125,0.0614221012334658,TRUE,TRUE
31,Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),-0.377111234402383,1920,-0.162433255240112,-0.409689174136897,0.0324944665200022,0.716145833333333,0.283854166666667,0.716145833333333,0.21467797916227,TRUE,TRUE
32,Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),1.01108184290761,1920,0.256960745802775,0.0512136865737781,0.390872834056491,0.138541666666667,0.861458333333333,0.861458333333333,-0.754121097104831,FALSE,TRUE
33,Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),-0.168088163956215,1920,-0.0586446323884572,-0.165533588296652,0.120714124865218,0.580729166666667,0.419270833333333,0.580729166666667,0.109443531567758,FALSE,TRUE
34,Central Huaihe Plain (Huaihe River Basin),-0.589892536180194,1920,-0.0311932640890232,-0.159984188323043,0.140968965874971,0.558333333333333,0.441666666666667,0.558333333333333,0.558699272091171,FALSE,TRUE
35,Central Minnesota Surficial and Buried Sand and Gravel Aquifers,0.598109867599971,1920,-0.751511196874727,-1.21819842823234,-0.449155994245984,0.945833333333333,0.0541666666666667,0.0541666666666667,-1.3496210644747,FALSE,FALSE
36,Southern High Plains (High Plains),0.102810123786301,1920,0.160819166144735,-0.0697213087431847,0.305508792090699,0.286458333333333,0.713541666666667,0.713541666666667,0.0580090423584341,TRUE,TRUE
37,Southcentral Karoo Basin (Main Karoo Basin),-1.2695173252848,1920,-0.693300852674522,-1.15889006224216,-0.522149339535598,1,0,1,0.576216472610277,FALSE,TRUE
38,Central High Plains (High Plains),-1.27929479790862,1920,0.0379309234975694,-0.26937177093224,0.209908941015644,0.440625,0.559375,0.440625,1.31722572140619,FALSE,FALSE
39,Lower Liaohe River Plain (Liaohe River Basin),0.388675770407462,1920,0.334195823874137,0.185753783648342,0.477793701906044,0.147395833333333,0.852604166666667,0.852604166666667,-0.0544799465333255,TRUE,TRUE
40,Wadi As-Sirhan Basin,0.201757318011444,1920,-0.056625904398656,-0.12488805651508,0.0332224648162074,0.675,0.325,0.325,-0.2583832224101,FALSE,FALSE
41,Eastern Saq Aquifer (Ram-Saq Aquifer System),-0.912304265108032,1920,-0.137031924606472,-0.431140615258567,-0.0705350455565511,0.946875,0.053125,0.946875,0.77527234050156,FALSE,TRUE
42,Trinity Aquifer System (Edwards-Trinity Aquifer System),-0.10092790629001,1920,0.269498413069822,-0.0739508540180777,0.392912729320498,0.305729166666667,0.694270833333333,0.305729166666667,0.370426319359832,FALSE,FALSE
43,Wisconsin Precambrian Aquifer,-0.346589808319816,1920,-0.248777677583796,-0.428423503654308,0.030612674907004,0.7390625,0.2609375,0.7390625,0.0978121307360206,TRUE,TRUE
44,Lafayette Area (Gulf Coast Regional Aquifer System),1.82887263470185,1920,0.600251791567061,0.453301683170192,0.8376276069215,0.0260416666666667,0.973958333333333,0.973958333333333,-1.22862084313479,FALSE,TRUE
45,Paskapoo-Scollard,-0.261501722032978,1920,-0.080770219570969,-0.401252188053455,0.188199380543046,0.570833333333333,0.429166666666667,0.570833333333333,0.180731502462009,TRUE,TRUE
46,Western Surat Basin (Great Artesian Basin),1.55024760339152,1920,0.643085488892024,0.512406383403064,0.922100368821082,0,1,1,-0.907162114499492,FALSE,TRUE
47,Coonamble Embayment (Great Artesian Basin),0.271718106435886,1920,0.385060984377322,0.254446470976336,0.55457637539439,0.0395833333333333,0.960416666666667,0.960416666666667,0.113342877941436,TRUE,TRUE
48,Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),0.295447503675325,1920,0.426810129110961,0.305373786127587,0.547251314952409,0.0838541666666667,0.916145833333333,0.916145833333333,0.131362625435635,FALSE,TRUE
49,Wuyuer-Shuangyang System (Songnen Plain),0.825986572771938,1920,0.666747383119463,0.498080526018156,0.933502537076166,0.05,0.95,0.95,-0.159239189652475,TRUE,TRUE
50,Powder River Basin (Northern Great Plains),-0.336585801244893,1920,-0.231535442740914,-0.625662600204629,-0.0581701597226268,0.836979166666667,0.163020833333333,0.836979166666667,0.105050358503979,TRUE,TRUE
51,Central Eucla Basin (Eucla Basin),0.356135456459375,1920,0.109680794504066,0.0135005523415038,0.264392150420111,0.232291666666667,0.767708333333333,0.767708333333333,-0.24645466195531,FALSE,TRUE
52,Rio Grande Delta (Gulf Coast Regional Aquifer System),-0.445980911657983,1920,0.308537447709531,0.0377732795895109,0.425327695196815,0.217708333333333,0.782291666666667,0.217708333333333,0.754518359367514,FALSE,FALSE
53,Michigan Basin,-0.391938781263516,1920,-0.340726527761725,-0.643420458446466,-0.11865946754551,0.825,0.175,0.825,0.051212253501791,TRUE,TRUE
54,Southern Piedmont Upland (Piedmont Plateau),0.352746856337203,1920,0.0272872392555511,-0.336577032381234,0.228517610431975,0.4921875,0.5078125,0.5078125,-0.325459617081652,FALSE,TRUE
55,Eastern Huaihe Plain (Huaihe River Basin),-0.134027571064413,1920,-0.132246374403411,-0.251973968936564,-0.00345650594589725,0.7546875,0.2453125,0.7546875,0.00178119666100246,TRUE,TRUE
56,Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),0.0634348338011244,1920,0.0221382310727928,-0.0735076560036469,0.142535640018903,0.4546875,0.5453125,0.5453125,-0.0412966027283316,TRUE,TRUE
57,Eastern Mississippi Embayment (Mississippi Embayment),0.561612911850514,1920,0.454162402728127,0.258503112324187,0.795580507694884,0.133333333333333,0.866666666666667,0.866666666666667,-0.107450509122387,TRUE,TRUE
58,Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),-0.465818206241271,1920,-0.388319799204639,-0.575742974281267,-0.0143535443537073,0.754166666666667,0.245833333333333,0.754166666666667,0.0774984070366316,TRUE,TRUE
59,Southeastern System (Amadeus Basin),-1.22810443850818,1920,-0.234290985617224,-0.594059227097608,-0.0129510895764827,0.770833333333333,0.229166666666667,0.770833333333333,0.993813452890952,FALSE,TRUE
