aquifer_idx,Study_area,n_cells,tau_true_cm_yr,tau_stipulated_cm_yr
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),181,-0.5366626211176555,-0.3085
1,Northern Guarani Aquifer (Guarani Aquifer System),141,-0.513743772482181,-0.1315
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),122,0.029758749662949533,0.3266
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),101,-1.1424489435405512,-1.3532
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),105,0.012542573563715008,0.1957
5,Eastern Eromanga Basin (Great Artesian Basin),106,-0.827460013045647,-0.8111
6,Northern Eromanga Basin (Great Artesian Basin),99,-2.3166068803323276,-2.6775
7,Northern High Plains (High Plains),111,0.16230205861624855,0.2914
8,Williston Basin (Northern Great Plains),116,0.5264300130450987,0.7239
9,Central Eromanga Depocenter (Great Artesian Basin),78,-1.6905678880682704,-1.9035
10,Western Parecis Basin (Parecis Basin),71,-1.3095421924652313,-1.141
11,Upper Gangetic Plain (Indo-Gangetic Plain),73,1.425587198464703,1.6989
12,Stampriet Kalahari Karoo Aquifer System,73,-0.39808864036619457,-0.0788
13,Northcentral Mega Aquifer System (Mega Aquifer System),65,-0.1674164710689979,-0.1473
14,Ozark Plateaus Aquifer System,70,1.505784652868728,2.0149
15,Western Karoo Basin (Main Karoo Basin),52,2.151388560512754,3.0
16,Middle Gangetic Plain (Indo-Gangetic Plain),53,0.05570425541816751,0.05
17,Northern Mega Aquifer System (Mega Aquifer System),54,0.09762248173394088,0.1392
18,Canning Basin,47,-0.48433638725391337,-0.5448
19,Central Karoo Basin (Main Karoo Basin),49,-0.23883908745378774,-0.1173
20,Southern Carpentaria Basin (Great Artesian Basin),44,-0.3600281579104126,-0.1747
21,Eastern Parecis Basin (Parecis Basin),38,-1.114329552025527,-1.0183
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),41,0.2428482646253692,0.4593
23,Wiso Basin (Daly-Wiso-Georgina Basins),40,-0.8256211683519735,-0.8586
24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),41,-0.3403243732370628,-0.0834
