aquifer_idx,Study_area,n_cells,tau_true_cm_yr,tau_stipulated_cm_yr
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),181,0.0027605933045636247,0.3085
1,Northern Guarani Aquifer (Guarani Aquifer System),141,-0.4921621077068621,-0.1315
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),122,0.042745426688040086,0.3266
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),101,-1.1424489435405512,-1.3532
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),105,0.027406225956317868,0.1957
5,Eastern Eromanga Basin (Great Artesian Basin),106,-0.6099126051610545,-0.8111
6,Northern Eromanga Basin (Great Artesian Basin),99,2.0846584068816667,2.6775
7,Northern High Plains (High Plains),111,0.14341315309263064,0.2914
8,Williston Basin (Northern Great Plains),116,0.5127382826533838,0.7239
9,Central Eromanga Depocenter (Great Artesian Basin),78,-1.412513427493999,-1.9035
10,Western Parecis Basin (Parecis Basin),71,0.47548158776420485,1.141
11,Upper Gangetic Plain (Indo-Gangetic Plain),73,1.3689458033924062,1.6989
12,Stampriet Kalahari Karoo Aquifer System,73,-0.26891881327559414,0.0788
13,Northcentral Mega Aquifer System (Mega Aquifer System),65,-0.17542845433557186,-0.1473
14,Ozark Plateaus Aquifer System,70,-1.764666004513925,-2.0149
15,Western Karoo Basin (Main Karoo Basin),52,2.013549659976669,3.0
16,Middle Gangetic Plain (Indo-Gangetic Plain),53,0.05570425541816751,0.05
17,Northern Mega Aquifer System (Mega Aquifer System),54,-0.12307743789496814,-0.1392
18,Canning Basin,47,-0.48433638725391337,-0.5448
19,Central Karoo Basin (Main Karoo Basin),49,-0.3247010511646503,-0.1173
20,Southern Carpentaria Basin (Great Artesian Basin),44,0.13033663461198056,0.1747
21,Eastern Parecis Basin (Parecis Basin),38,-0.9972560523801319,-1.0183
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),41,0.2428482646253692,0.4593
23,Wiso Basin (Daly-Wiso-Georgina Basins),40,-0.8256211683519735,-0.8586
24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),41,-0.3403234456819569,-0.0834
25,Dakota Aquifer System,51,-0.23202342260901931,-0.2072
