aquifer_idx,Study_area,n_cells,tau_true_cm_yr,tau_stipulated_cm_yr
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),181,-1.1837045687283396,-1.0
1,Northern Guarani Aquifer (Guarani Aquifer System),141,-1.2911170015497553,-1.0
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),122,-1.1293272079984458,-1.0
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),101,-0.8728056287067019,-1.0
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),105,-1.014325368268344,-1.0
5,Eastern Eromanga Basin (Great Artesian Basin),106,-0.8840641646040669,-1.0
6,Northern Eromanga Basin (Great Artesian Basin),99,-0.9403563738866915,-1.0
7,Northern High Plains (High Plains),111,-0.9700879102473183,-1.0
8,Williston Basin (Northern Great Plains),116,-0.9593274827678367,-1.0
9,Central Eromanga Depocenter (Great Artesian Basin),78,-0.936956423413643,-1.0
10,Western Parecis Basin (Parecis Basin),71,-1.198746829834826,-1.0
11,Upper Gangetic Plain (Indo-Gangetic Plain),73,-0.8470073001773878,-1.0
12,Stampriet Kalahari Karoo Aquifer System,73,-1.1531093120752876,-1.0
13,Northcentral Mega Aquifer System (Mega Aquifer System),65,-0.9092632377679093,-1.0
14,Ozark Plateaus Aquifer System,70,-0.8842186948406157,-1.0
15,Western Karoo Basin (Main Karoo Basin),52,-1.0482837096488706,-1.0
16,Middle Gangetic Plain (Indo-Gangetic Plain),53,-0.8715017796100163,-1.0
17,Northern Mega Aquifer System (Mega Aquifer System),54,-0.8365573595935121,-1.0
18,Canning Basin,47,-0.8271004290958468,-1.0
19,Central Karoo Basin (Main Karoo Basin),49,-1.163575680324661,-1.0
20,Southern Carpentaria Basin (Great Artesian Basin),44,-0.8912869672370496,-1.0
21,Eastern Parecis Basin (Parecis Basin),38,-1.0930828099683878,-1.0
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),41,-0.8394929345493158,-1.0
23,Wiso Basin (Daly-Wiso-Georgina Basins),40,-0.9728908246039872,-1.0
24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),41,-1.0230231743490903,-1.0
25,Dakota Aquifer System,51,-0.9460236769996054,-1.0
26,Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),39,-0.8615107434829724,-1.0
27,Trans Gangetic Plain (Indo-Gangetic Plain),40,-0.6068523510556331,-1.0
28,Southcentral Mega Aquifer System (Mega Aquifer System),32,-0.6664362226741484,-1.0
29,Central Mississippi Embayment (Mississippi Embayment),36,-1.089527456618448,-1.0
30,Northern Karoo Basin (Main Karoo Basin),32,-1.201530532460741,-1.0
31,Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),36,-0.9962956976642503,-1.0
32,Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),25,-0.7850948067471658,-1.0
33,Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),27,-0.8489806191280715,-1.0
34,Central Huaihe Plain (Huaihe River Basin),29,-0.9077769530975554,-1.0
35,Central Minnesota Surficial and Buried Sand and Gravel Aquifers,38,-1.1644574301211208,-1.0
36,Southern High Plains (High Plains),30,-0.907504277417359,-1.0
37,Southcentral Karoo Basin (Main Karoo Basin),27,-0.9878810766830939,-1.0
38,Central High Plains (High Plains),28,-0.7857843955626621,-1.0
39,Lower Liaohe River Plain (Liaohe River Basin),29,-0.268062049104674,-1.0
40,Wadi As-Sirhan Basin,25,-0.4266514758240783,-1.0
41,Eastern Saq Aquifer (Ram-Saq Aquifer System),25,-0.5935070954814265,-1.0
42,Trinity Aquifer System (Edwards-Trinity Aquifer System),25,-0.8664613789543417,-1.0
43,Wisconsin Precambrian Aquifer,29,-0.9635809977030468,-1.0
44,Lafayette Area (Gulf Coast Regional Aquifer System),26,-0.8555961209156709,-1.0
45,Paskapoo-Scollard,36,-0.9933084056898553,-1.0
46,Western Surat Basin (Great Artesian Basin),23,-0.9835940078374399,-1.0
47,Coonamble Embayment (Great Artesian Basin),25,-0.6970015760544838,-1.0
48,Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),22,-0.9168667406660862,-1.0
49,Wuyuer-Shuangyang System (Songnen Plain),29,-0.18745244005418904,-1.0
50,Powder River Basin (Northern Great Plains),29,-0.831172419071449,-1.0
51,Central Eucla Basin (Eucla Basin),23,-0.6718496783491853,-1.0
52,Rio Grande Delta (Gulf Coast Regional Aquifer System),21,-0.9276144393353262,-1.0
53,Michigan Basin,25,-1.0254832449832847,-1.0
54,Southern Piedmont Upland (Piedmont Plateau),24,-0.7229541760610831,-1.0
55,Eastern Huaihe Plain (Huaihe River Basin),26,-0.7806872385125201,-1.0
56,Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),22,-0.7681267146237157,-1.0
57,Eastern Mississippi Embayment (Mississippi Embayment),22,-0.9107006462776346,-1.0
58,Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),28,-0.9722329609882426,-1.0
59,Southeastern System (Amadeus Basin),22,-0.9086332616555082,-1.0
60,Edwards Plateau (Edwards-Trinity Aquifer System),22,-1.0571482919604467,-1.0
61,Southcentral Deccan Basalt Plateau (Deccan Plateau),18,-0.7312621773497968,-1.0
62,Eastside Lower Indus Valley (Indus Basin),21,-0.44142849445449095,-1.0
63,Central Piedmont Upland (Piedmont Plateau),22,-0.7906002208856064,-1.0
64,Eastern Carrizo-Wilcox (Carrizo-Wilcox),21,-0.8100171960182159,-1.0
65,Jiangsu Coastal Plain (Huaihe River Basin),21,-0.6601246437555108,-1.0
66,Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),22,-0.9745688981277391,-1.0
67,Northcentral Deccan Basalt Plateau (Deccan Plateau),19,-0.6241310369335634,-1.0
