aquifer_idx,Study_area,n_cells,tau_true_cm_yr,tau_gw_cm_yr,tau_stipulated_cm_yr,aux_era5_cm_yr,aux_gldas_cm_yr
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),181,-0.6379711737940309,-0.27701017985659815,-0.3085,-0.36096099393743275,-0.26891946655197063
1,Northern Guarani Aquifer (Guarani Aquifer System),141,-1.0883001971256858,-0.12392647229563679,-0.1315,-0.964373724830049,-0.3898172924432263
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),122,-0.8891011720888398,-0.28738312471000993,-0.3266,-0.6017180473788298,-0.24640989588206352
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),101,-1.3446733622978335,-1.0323077771439015,-1.3532,-0.312365585153932,-0.11014120152494022
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),105,-0.250991189605434,-0.3107199757782234,-0.1957,0.05972878617278943,-0.07336533995103131
5,Eastern Eromanga Basin (Great Artesian Basin),106,-0.8025249064677983,-0.866490385496745,-0.8111,0.06396547902894667,0.03902991201936417
6,Northern Eromanga Basin (Great Artesian Basin),99,-2.056435554057741,-2.2945258454523656,-2.6775,0.23809029139462456,-0.028117534223026944
7,Northern High Plains (High Plains),111,-0.24618581023850986,-0.25301663481025594,-0.2914,0.00683082457174608,-0.09247613696575843
8,Williston Basin (Northern Great Plains),116,-0.7518011597762465,-0.6168742123187433,-0.7239,-0.13492694745750322,-0.0921847512425097
9,Central Eromanga Depocenter (Great Artesian Basin),78,-1.656100821534927,-1.7579906842125244,-1.9035,0.10188986267759725,0.04682507946940702
10,Western Parecis Basin (Parecis Basin),71,-1.1549690284044738,-0.9196605498529692,-1.141,-0.2353084785515046,-0.3898816361761303
11,Upper Gangetic Plain (Indo-Gangetic Plain),73,-1.162406171186201,-1.4004120114112568,-1.6989,0.23800584022505578,0.023428061777462574
12,Stampriet Kalahari Karoo Aquifer System,73,0.22182827628737914,-0.0637631813158569,-0.07880000000000001,0.285591457603236,-0.33432546296466037
13,Northcentral Mega Aquifer System (Mega Aquifer System),65,-0.08626538474500349,-0.13040755058992773,-0.14730000000000001,0.04414216584492424,-0.04666169881095583
14,Ozark Plateaus Aquifer System,70,-1.604566847156591,-1.7291684338083226,-2.0149,0.1246015866517316,-0.03549759467416649
15,Western Karoo Basin (Main Karoo Basin),52,-2.3180532080613543,-2.3440376890218375,-3.0,0.025984480960483225,-0.19042318886101586
16,Middle Gangetic Plain (Indo-Gangetic Plain),53,-0.079650187177688,-0.1255518433208656,-0.05,0.04590165614317761,-0.07145344973417592
17,Northern Mega Aquifer System (Mega Aquifer System),54,-0.14360795062076398,-0.1155284310982335,-0.13920000000000002,-0.028079519522530474,-0.009361070570881366
18,Canning Basin,47,-0.30425784731825,-0.40947757029744986,-0.5448000000000001,0.10521972297919985,-0.07485882312894868
19,Central Karoo Basin (Main Karoo Basin),49,-0.23208023886265355,-0.20371004633761153,-0.1173,-0.028370192525042026,-0.2623667297411135
20,Southern Carpentaria Basin (Great Artesian Basin),44,-0.014730678843100581,-0.2894162794950096,-0.17470000000000002,0.274685600651909,-0.07061188054818741
21,Eastern Parecis Basin (Parecis Basin),38,-1.1283679897935013,-0.8374694635765244,-1.0183,-0.29089852621697687,-0.27686009001491824
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),41,-0.941145389365684,-0.3399123822485304,-0.45930000000000004,-0.6012330071171537,-0.09855135422697468
23,Wiso Basin (Daly-Wiso-Georgina Basins),40,-0.7621995287092438,-0.6337217545252571,-0.8586,-0.12847777418398665,-0.1918994157611145
24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),41,-0.09235881924300478,-0.10042306879987489,-0.0834,0.008064249556870115,-0.2399012984731184
25,Dakota Aquifer System,51,-0.1004260037398573,-0.18942868264058402,-0.20720000000000002,0.08900267890072672,-0.12192156133277013
26,Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),39,-0.02865987393823446,-0.0822027424402772,-0.0883,0.053542868502042734,-0.046717388553785356
27,Trans Gangetic Plain (Indo-Gangetic Plain),40,-0.7432767829088409,-0.9433441938470515,-1.0779,0.20006741093821057,0.21611631364728145
28,Southcentral Mega Aquifer System (Mega Aquifer System),32,-0.49590281260054275,-0.20257561219346568,-0.2753,-0.29332720040707705,0.0978106074569445
29,Central Mississippi Embayment (Mississippi Embayment),36,-1.9090159145247176,-2.0255425292347087,-2.5295,0.11652661470999104,-0.208666970773015
30,Northern Karoo Basin (Main Karoo Basin),32,-0.10876372629183398,-0.208061309120025,-0.0529,0.09929758282819101,-0.30177452383951364
31,Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),36,-0.13529043407550784,-0.1862813326078396,-0.2457,0.05099089853233177,-0.20475343479944333
32,Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),25,-0.5948746899715665,-1.0284091791234806,-1.4324000000000001,0.43353448915191417,-0.01886531024163627
33,Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),27,1.1051666016984498,-0.06431583019438794,-0.0703,1.1694824318928378,-0.11420477599378354
34,Central Huaihe Plain (Huaihe River Basin),29,-1.174320223281038,-0.5042732293541715,-0.6839000000000001,-0.6700469939268664,-0.0958811420626783
35,Central Minnesota Surficial and Buried Sand and Gravel Aquifers,38,-1.0815463840554886,-1.0047307938454504,-1.2784,-0.07681559021003825,-0.35282208699579765
36,Southern High Plains (High Plains),30,-0.5764639133940666,-0.31130078798631655,-0.3659,-0.26516312540775,-0.12842417841663506
37,Southcentral Karoo Basin (Main Karoo Basin),27,-1.1386148516049814,-1.115788772687803,-1.2077,-0.02282607891717836,-0.16886318150239565
38,Central High Plains (High Plains),28,-1.3201703101737743,-1.1966284719097344,-1.7983,-0.12354183826403986,-0.10046200271379874
39,Lower Liaohe River Plain (Liaohe River Basin),29,0.2478567181261117,-0.04717559108336694,-0.056,0.29503230920947865,0.4137089606303868
40,Wadi As-Sirhan Basin,25,-0.3810855037961116,-0.04984528163787751,-0.07440000000000001,-0.3312402221582341,0.2516025989013945
41,Eastern Saq Aquifer (Ram-Saq Aquifer System),25,-1.0170713658403205,-0.9441458932305103,-1.5162,-0.0729254726098102,0.031427167466900066
42,Trinity Aquifer System (Edwards-Trinity Aquifer System),25,-0.16403455379068968,-0.1250318333164877,-0.1849,-0.039002720474201974,-0.21290609776564293
43,Wisconsin Precambrian Aquifer,29,-0.024628875577740815,-0.17905232956454084,-0.165,0.15442345398680002,-0.18644399970942754
44,Lafayette Area (Gulf Coast Regional Aquifer System),26,-1.8369262599435818,-1.9992537930519576,-2.8342,0.16232753310837578,-0.09748962566298676
45,Paskapoo-Scollard,36,0.09663514111287504,-0.040274166666576745,-0.059300000000000005,0.1369093077794518,-0.3031611730565281
46,Western Surat Basin (Great Artesian Basin),23,-1.4918980294487565,-1.5851434330942948,-2.1328,0.09324540364553835,-0.03679626971130876
47,Coonamble Embayment (Great Artesian Basin),25,0.014358960189805463,-0.20019387158101007,-0.1242,0.21455283177081552,0.06998472171072698
48,Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),22,-0.22734026639999083,-0.44136895627298955,-0.38730000000000003,0.21402868987299872,-0.14746581527434366
49,Wuyuer-Shuangyang System (Songnen Plain),29,0.3048460458985076,-0.3000908159231392,-0.4339,0.6049368618216469,0.5273188054063763
50,Powder River Basin (Northern Great Plains),29,-0.22687968937779224,-0.289783016952721,-0.3457,0.06290332757492878,-0.04680277594041327
51,Central Eucla Basin (Eucla Basin),23,-0.4780103060906664,-0.443680628338799,-0.7663000000000001,-0.034329677751867405,-0.08772947973547134
