aquifer_idx,Study_area,n_cells,tau_true_cm_yr,tau_gw_cm_yr,tau_stipulated_cm_yr,aux_era5_cm_yr,aux_gldas_cm_yr
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),181,-0.5459296466739408,-0.27701017985659815,-0.3085,-0.2689194668173427,-0.26891946655197063
1,Northern Guarani Aquifer (Guarani Aquifer System),141,-0.5137437648834214,-0.12392647229563679,-0.1315,-0.38981729258778464,-0.3898172924432263
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),122,-0.5337930204214842,-0.28738312471000993,-0.3266,-0.2464098957114743,-0.24640989588206352
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),101,0.9236974111736763,1.0338386130618755,1.3532,-0.1101412018881992,-0.11014120152494022
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),105,0.022174159261175705,0.09553949906324473,0.1957,-0.07336533980206902,-0.07336533995103131
5,Eastern Eromanga Basin (Great Artesian Basin),106,-0.6099126094991038,-0.6489425215375927,-0.8111,0.039029912038488934,0.03902991201936417
6,Northern Eromanga Basin (Great Artesian Basin),99,2.0847505680975167,2.112868102341628,2.6775,-0.02811753424411112,-0.028117534223026944
7,Northern High Plains (High Plains),111,0.14341314937049213,0.2358892862356192,0.2914,-0.09247613686512707,-0.09247613696575843
8,Williston Basin (Northern Great Plains),116,0.5127382872763644,0.6049230385106504,0.7239,-0.09218475123428604,-0.0921847512425097
9,Central Eromanga Depocenter (Great Artesian Basin),78,-1.4125133982410618,-1.459338477146238,-1.9035,0.04682507890517629,0.04682507946940702
10,Western Parecis Basin (Parecis Basin),71,-1.3095421860528969,-0.9196605498529692,-1.141,-0.38988163619992766,-0.3898816361761303
11,Upper Gangetic Plain (Indo-Gangetic Plain),73,-1.3203425335923298,-1.343770595159247,-1.6989,0.023428061566917124,0.023428061777462574
12,Stampriet Kalahari Karoo Aquifer System,73,-0.39808864425861856,-0.0637631813158569,-0.07880000000000001,-0.33432546294276166,-0.33432546296466037
13,Northcentral Mega Aquifer System (Mega Aquifer System),65,0.06845000203386152,0.11511170082270047,0.14730000000000001,-0.046661698788838954,-0.04666169881095583
14,Ozark Plateaus Aquifer System,70,1.6953515948004625,1.7308491886614847,2.0149,-0.03549759386102225,-0.03549759467416649
15,Western Karoo Basin (Main Karoo Basin),52,2.013549663194894,2.2039728520359785,3.0,-0.19042318884108456,-0.19042318886101586
16,Middle Gangetic Plain (Indo-Gangetic Plain),53,-0.19700529346145618,-0.1255518433208656,-0.05,-0.07145345014059057,-0.07145344973417592
17,Northern Mega Aquifer System (Mega Aquifer System),54,0.10601566533702839,0.11537673604497266,0.13920000000000002,-0.009361070707944272,-0.009361070570881366
18,Canning Basin,47,0.3361286620801285,0.4109874854162152,0.5448000000000001,-0.07485882333608673,-0.07485882312894868
19,Central Karoo Basin (Main Karoo Basin),49,-0.32470105511228214,-0.06233432509437599,-0.1173,-0.26236673001790617,-0.2623667297411135
20,Southern Carpentaria Basin (Great Artesian Basin),44,0.22045126405331647,0.2910631444441904,0.17470000000000002,-0.07061188039087393,-0.07061188054818741
21,Eastern Parecis Basin (Parecis Basin),38,-1.114329554027637,-0.8374694635765244,-1.0183,-0.2768600904511126,-0.27686009001491824
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),41,0.24284826191467498,0.3413996156661831,0.45930000000000004,-0.09855135375150811,-0.09855135422697468
23,Wiso Basin (Daly-Wiso-Georgina Basins),40,-0.8256211700537569,-0.6337217545252571,-0.8586,-0.19189941552849976,-0.1918994157611145
24,Northern Georgina Basin (Daly-Wiso-Georgina Basins),41,-0.3403234429058555,-0.10042214422720534,-0.0834,-0.23990129867865012,-0.2399012984731184
25,Dakota Aquifer System,51,-0.23202341814678476,-0.11010185657698396,-0.20720000000000002,-0.1219215615698008,-0.12192156133277013
26,Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),39,-0.09264308309578291,-0.0459256946613534,-0.0883,-0.04671738843442951,-0.046717388553785356
27,Trans Gangetic Plain (Indo-Gangetic Plain),40,0.9981879171519211,0.7820716037595097,1.0779,0.21611631339241144,0.21611631364728145
28,Southcentral Mega Aquifer System (Mega Aquifer System),32,-0.08804256640350511,-0.18585317381432753,-0.2753,0.09781060741082243,0.0978106074569445
29,Central Mississippi Embayment (Mississippi Embayment),36,1.7468018366886973,1.9554688074904178,2.5295,-0.20866697080172059,-0.208666970773015
