Study_area,umbrella_short,sub_short,climate_zone,area_km2,sign_agree,abs_GRACE_trend,dominance_R
Eastern Eromanga Basin (Great Artesian Basin),Great Artesian,Eastern Eromanga,arid,290867,0.5015625,0.000896614176085025,236.39179981225
Northern Eromanga Basin (Great Artesian Basin),Great Artesian,Northern Eromanga,arid,281571,0.515104166666667,0.00640447829893632,29.9739726487645
Central Piedmont Upland (Piedmont Plateau),Piedmont,Central Piedmont,humid,57273,0.5234375,0.0172610091966411,25.2137577004876
Jiangsu Coastal Plain (Huaihe River Basin),Huaihe River,Jiangsu Coastal,humid,56925,0.5640625,0.0253877350755101,9.60842253121076
Lower Liaohe River Plain (Liaohe River Basin),Liaohe River,Lower Liaohe River,dry sub-humid,69968,0.565104166666667,0.0190795339737342,10.5275883613909
Canning Basin,Canning,Canning,semi-arid,130597,0.5734375,0.0267579736715719,9.03151695514119
Eastern Carrizo-Wilcox (Carrizo-Wilcox),Carrizo-Wilcox,Eastern Carrizo-Wilcox,humid,57217,0.5859375,0.0647123105304513,5.60966665843595
Central Allegheny Plateau (Appalachian Plateaus),Appalachian Plateaus,Central Allegheny,humid,52939,0.594270833333333,0.0827299404378283,6.2282567492936
Central Eromanga Depocenter (Great Artesian Basin),Great Artesian,Central Eromanga,arid,214471,0.615625,0.0624164133262279,3.35955604376391
Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),Eutaw and McShan Formations and Tuscaloosa Group,Black Warrior River,humid,50216,0.6171875,0.0909482961015654,4.67035708772512
Western Surat Basin (Great Artesian Basin),Great Artesian,Western Surat,semi-arid,65684,0.6453125,0.0559186726429756,3.81522286484713
Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),Northern Midwest,Western Cambrian-Ordovician Aquifers,humid,59488,0.658333333333333,0.189889461300216,3.01410374774765
Eastern Mississippi Embayment (Mississippi Embayment),Mississippi,Eastern Mississippi,humid,60634,0.659895833333333,0.116473772792321,3.53082304424355
Southern Piedmont Upland (Piedmont Plateau),Piedmont,Southern Piedmont,humid,61856,0.668229166666667,0.136574924971916,2.77744187206896
Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),Northern Midwest,Mississippian-Silurian-Devonian Carbonates,humid,87887,0.694270833333333,0.198257777677929,2.5785850385606
Southcentral Karoo Basin (Main Karoo Basin),Main Karoo,Southcentral Karoo,arid,72357,0.694791666666667,0.0538420201211052,2.99881457899854
Central Mississippi Embayment (Mississippi Embayment),Mississippi,Central Mississippi,humid,89580,0.696354166666667,0.157514679435668,2.32557442257509
Central Eucla Basin (Eucla Basin),Eucla,Central Eucla,arid,63315,0.698958333333333,0.102168440629784,2.23356880786987
