umbrella_short,n_sub_basins_in_cohort,new_regime,n_candidates,n_dedicated,n_regional,n_incidental,n_off_topic,smoking_gun_author,smoking_gun_year,smoking_gun_citations,smoking_gun_title,source,sub_basins
Mississippi,2,B (was D),26,8,18,0,0,Matthew Rodell,2006,699,Estimating groundwater storage changes in the Mississippi River basin (USA) using GRACE,Option B (per-aquifer OpenAlex expansion),Eastern Mississippi Embayment (Mississippi Embayment) | Central Mississippi Embayment (Mississippi Embayment)
Great Artesian,10,B (was D),6,6,0,0,0,Pascal Castellazzi,2024,13,Assessing Groundwater Storage Change in the Great Artesian Basin Using GRACE and Groundwater Budgets,Option B (per-aquifer OpenAlex expansion),Eastern Eromanga Basin (Great Artesian Basin) | Northern Eromanga Basin (Great Artesian Basin) | Central Eromanga Depocenter (Great Artesian Basin) | Western Surat Basin (Great Artesian Basin) | Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin) | Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin) | Southern Carpentaria Basin (Great Artesian Basin) | Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin) | Coonamble Embayment (Great Artesian Basin) | Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin)
Huaihe River,3,B (was D),5,2,3,0,0,Ruonan Hao,2023,14,Forecasting the Propagation from Meteorological to Hydrological and Agricultural Drought in the Huai,Option B (per-aquifer OpenAlex expansion),Jiangsu Coastal Plain (Huaihe River Basin) | Central Huaihe Plain (Huaihe River Basin) | Eastern Huaihe Plain (Huaihe River Basin)
Canning,1,B (was D),1,1,0,0,0,Simon Munier,2012,0,Using GRACE to detect Groundwater Storage variations: the cases of Canning Basin and Guarani Aquifer System,"existing 357-paper corpus (Munier 2012, paper_id 87)",Canning Basin
Liaohe River,1,B (was D),2,1,1,0,0,Yulong Zhong,2018,115,"Groundwater Depletion in the West Liaohe River Basin, China and Its Implications Revealed by GRACE a",Option B (per-aquifer OpenAlex expansion),Lower Liaohe River Plain (Liaohe River Basin)
Main Karoo,5,B (was D),1,1,0,0,0,Hussein A. Mohasseb,2023,6,Groundwater Storage Variations in the Main Karoo Aquifer Estimated Using GRACE and GPS,Option B (per-aquifer OpenAlex expansion),Southcentral Karoo Basin (Main Karoo Basin) | Northeastern Karoo Basin (Main Karoo Basin) | Western Karoo Basin (Main Karoo Basin) | Central Karoo Basin (Main Karoo Basin) | Northern Karoo Basin (Main Karoo Basin)
Michigan,1,B (was D),6,1,5,0,0,Hossein Sahour,2020,123,Statistical Applications to Downscale GRACE-Derived Terrestrial Water Storage Data and to Fill Tempo,Option B (per-aquifer OpenAlex expansion),Michigan Basin
Ozark Plateaus,1,B (was D),1,1,0,0,0,Stacy Larochelle,2022,26,Understanding the Geodetic Signature of Large Aquifer Systems: Example of the Ozark Plateaus in Cent,Option B (per-aquifer OpenAlex expansion),Ozark Plateaus Aquifer System
Dakota,1,D (regional papers only; stays latent),1,0,1,0,0,,,0,,Option B (per-aquifer OpenAlex expansion),Dakota Aquifer System
Edwards-Trinity,1,D (regional papers only; stays latent),1,0,1,0,0,,,0,,Option B (per-aquifer OpenAlex expansion),Trinity Aquifer System (Edwards-Trinity Aquifer System)
