first_author,year,region,flagship,policy_title,policy_publisher,number_quote,recommendation_linked,final_class,pdf_file
Indira Bose,2021,indus,0,Green Technology Book: Energy solutions for climate change in Asia and the Pacific,World Intellectual Property Organization,80 million cubic meters of groundwater per season,yes,recommendation-linked,policy_pdfs/fullcorpus/www_wipo_int_7927c392.pdf
Julian Xanke,2022,arabian,1,OECD Economic Surveys: Hungary 2024,Organisation for Economic Co-operation and Development (OECD),second largest fall in ground water recharge,yes,recommendation-linked,policy_pdfs/fullcorpus/www_oecd_org_71e3fdb7.pdf
Petra Döll,2014,arabian,1,Agriculture and conservation (Arabic version),International Union for Conservation of Nature,15%,no,evidentiary,policy_pdfs/fullcorpus/portals_iucn_org_230e6cb3.pdf
Matthew Rodell,2009,igp,1,Agriculture and conservation,International Union for Conservation of Nature,29%,no,evidentiary,policy_pdfs/fullcorpus/portals_iucn_org_661eadad.pdf
K. Voss,2013,arabian,0,The Economics of Water Scarcity in the Middle East and North Africa: Institutional Solutions,World Bank,13 (+ / −1.6) cubic kilometers per year,no,evidentiary,policy_pdfs/fullcorpus/openknowledge_worldbank_org_ae038183.pdf
Matthew Rodell,2009,igp,1,动态发展、人口变化与膳食转变,Food and Agriculture Organization of the United Nations,17.7±4.5立方千米/年,no,evidentiary,policy_pdfs/fullcorpus/www_fao_org_e61786de.pdf
K. Voss,2013,arabian,0,A New State of Mind : Greater Transparency and Accountability in the Middle East and North Africa,World Bank,13 (+-1.6) km3/yr,yes,recommendation-linked,policy_pdfs/fullcorpus/openknowledge_worldbank_org_af79fb57.pdf
K. Voss,2013,arabian,0,The State of Land and Water Resources for Food and Agriculture in the Near East and North Africa region,Food and Agriculture Organization of the United Nations,60 percent,no,evidentiary,policy_pdfs/fullcorpus/www_fao_org_f3ca61f7.pdf
Petra Döll,2014,arabian,1,UN World Water Development Report 2022: Groundwater: Making the invisible visible,UN Human Settlements Programme,113 km3/year,no,evidentiary,policy_pdfs/fullcorpus/unhabitat_org_3115d8da.pdf
Marc Leblanc,2009,murray,1,UN World Water Development Report 2022: Groundwater: Making the invisible visible,UN Human Settlements Programme,~100 ± 35 km3,no,evidentiary,policy_pdfs/fullcorpus/unhabitat_org_3115d8da.pdf
Petra Döll,2014,arabian,1,The State of the World’s Land and Water Resources for Food and Agriculture 2021 – Systems at breaking point,Food and Agriculture Organization of the United Nations,113 km3/year,no,evidentiary,policy_pdfs/fullcorpus/openknowledge_fao_org_889e3918.pdf
Longwei Xiang,2016,indus,1,Outlook on Climate Change Adaptation in the Hindu Kush Himalaya,United Nations Environment Programme (UNEP),between 2003 and 2009,no,evidentiary,policy_pdfs/fullcorpus/wedocs_unep_org_a009091e.pdf
Petra Döll,2014,arabian,1,Managing Groundwater for Drought Resilience in South Asia,World Bank,60 million hectares,no,evidentiary,policy_pdfs/fullcorpus/documents_worldbank_org_676b3da4.pdf
Matthew Rodell,2009,igp,1,Managing Groundwater for Drought Resilience in South Asia,World Bank,17.7±4.5 cubic kilometers per year,no,evidentiary,policy_pdfs/fullcorpus/documents_worldbank_org_676b3da4.pdf
Matthew Rodell,2009,igp,1,In the Dark,World Bank,109 cubic kilometers,yes,recommendation-linked,policy_pdfs/fullcorpus/openknowledge_worldbank_org_7456ac63.pdf
Matthew Rodell,2009,igp,1,"Dynamic development, shifting demographics and changing diets",Food and Agriculture Organization of the United Nations,17.7 ± 4.5 km3/year,yes,recommendation-linked,policy_pdfs/fullcorpus/www_fao_org_7ca319b7.pdf
J. S. Famiglietti,2011,central_valley,1,The Federal Role in Groundwater Supply,Congressional Research Service,"31 cubic kilometers, or 6.8 trillion gallons",no,evidentiary,policy_pdfs/fullcorpus/crsreports_congress_gov_26addb95.pdf
J. S. Famiglietti,2014,igp,1,Future flows: global trends to watch on water and sanitation,Overseas Development Institute,21 of the world’s 37 largest aquifer systems,yes,recommendation-linked,policy_pdfs/fullcorpus/odi_org_3ced08a2.pdf
Matthew Rodell,2009,igp,1,'Well-fare' Economics of Groundwater in South Asia,World Bank,one-third of a meter per year,no,evidentiary,policy_pdfs/fullcorpus/openknowledge_worldbank_org_3001f67d.pdf
Bridget R. Scanlon,2012,central_valley,1,"Drying Wells, Rising Stakes",Organisation for Economic Co-operation and Development (OECD),half of total groundwater depletion in the United States since 1900,no,evidentiary,policy_pdfs/fullcorpus/www_oecd_org_aaf6a2a4.pdf
Matthew Rodell,2009,igp,1,Asia's Wicked Environmental Problems,Asian Development Bank,33 cm per year,no,evidentiary,policy_pdfs/fullcorpus/www_adb_org_12ed88dc.pdf
Matthew Rodell,2009,igp,1,Climate Risk and Financial Institutions,World Bank,more than 100 cubic kilometers of groundwater between 2002 and 2008,no,evidentiary,policy_pdfs/fullcorpus/openknowledge_worldbank_org_cc0eef9b.pdf
