status,reason,n_papers_cited,publisher,title,domain,retrievability,pdf_bytes,txt_chars,slug,url
ok,cached,1,World Bank,From Risk to Resilience: Helping People and Firms Adapt in South Asia,openknowledge.worldbank.org,cli-likely,7251372,1385764,openknowledge_worldbank_org_be7a5f39,https://openknowledge.worldbank.org/server/api/core/bitstreams/708d8176-918a-4f01-bdf4-d8ff33183603/content
ok,cached,1,World Economic Forum,Resilient Economies: Strategies for Sinking Cities and Flood Risks,reports.weforum.org,unknown,15421730,199274,reports_weforum_org_059bfdff,https://reports.weforum.org/docs/WEF_Resilient_Economies_Strategies_for_Sinking_Cities_and_Flood_Risks_2025.pdf
ok,cached,2,World Bank,Continental Drying: A Threat to Our Common Future,openknowledge.worldbank.org,cli-likely,14343485,467173,openknowledge_worldbank_org_81030017,https://openknowledge.worldbank.org/server/api/core/bitstreams/ed40c10d-0cb0-4fe3-9129-2e76137ea5f0/content
ok,cached,2,World Bank,Continental Drying: A Threat to Our Common Future,openknowledge.worldbank.org,cli-likely,14343485,467173,openknowledge_worldbank_org_332f679f,https://openknowledge.worldbank.org/server/api/core/bitstreams/6d9488fa-f85f-4dbf-a96b-a4ccacf5a8ce/content
ok,cached,1,Organisation for Economic Co-operation and Development (OECD),Global Drought Outlook,www.oecd.org,unknown,8643391,485817,www_oecd_org_43579499,https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/06/global-drought-outlook_28488e98/d492583a-en.pdf
ok,cached,1,Organisation for Economic Co-operation and Development (OECD),Assessing the impacts of agricultural support policies on the environment,www.oecd.org,unknown,2275647,402815,www_oecd_org_ff62b94e,https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/05/assessing-the-impacts-of-agricultural-support-policies-on-the-environment_80c643f2/808f110c-en.pdf
ok,cached,1,The International Institute for Sustainable Development,Integration of Climate Data in the SAVi Nature-Based Infrastructure Model,www.iisd.org,unknown,947917,115021,www_iisd_org_673970eb,https://www.iisd.org/system/files/2020-09/intregration-climate-data-savi-nature-based-infrastructure-model.pdf
ok,cached,1,The International Institute for Sustainable Development,Integration of Climate Data in the SAVi Energy Model,www.iisd.org,unknown,2234737,197137,www_iisd_org_92b40399,https://www.iisd.org/system/files/2020-09/intregration-climate-data-savi-energy-model.pdf
ok,cached,1,The International Institute for Sustainable Development,Integration of Climate Data in the SAVi Buildings Model,www.iisd.org,unknown,839342,108992,www_iisd_org_bd9b0db9,https://www.iisd.org/system/files/2020-09/intregration-climate-data-savi-buildings-model.pdf
ok,cached,1,The International Institute for Sustainable Development,Integration of Climate Data in the SAVi Roads Model,www.iisd.org,unknown,783481,103783,www_iisd_org_91bb6066,https://www.iisd.org/system/files/2020-09/intregration-climate-data-savi-roads-model.pdf
ok,cached,1,The International Institute for Sustainable Development,Integration of Climate Data in the SAVi Wastewater Model,www.iisd.org,unknown,810344,94257,www_iisd_org_c01f0cc8,https://www.iisd.org/system/files/2020-09/intregration-climate-data-savi-wastewater-model.pdf
ok,cached,1,The International Institute for Sustainable Development,Integration of Climate Data in the SAVi Irrigation Model,www.iisd.org,unknown,990880,102069,www_iisd_org_c91cb9c0,https://www.iisd.org/system/files/2020-09/intregration-climate-data-savi-irrigation-model.pdf
ok,cached,1,World Meteorological Organization (WMO),The 2022 GCOS ECVs Requirements,library.wmo.int,unknown,7059787,837124,library_wmo_int_76b06315,https://library.wmo.int/viewer/58111/download?file=GCOS-245-ECVs-Requ-2022-Upd-2025_en.pdf&type=pdf&navigator=1
ok,cached,1,World Intellectual Property Organization,Green Technology Book: Energy solutions for climate change in Asia and the Pacif,www.wipo.int,unknown,19160188,1078135,www_wipo_int_7927c392,https://www.wipo.int/edocs/pubdocs/en/wipo-pub-2016-en-green-technology-book-energy-solutions-for-climate-change-in-asia-and-the-pacific.pdf
ok,cached,1,World Bank,A Blueprint for Resilience,openknowledge.worldbank.org,cli-likely,80019487,1276809,openknowledge_worldbank_org_3d166dd5,https://openknowledge.worldbank.org/server/api/core/bitstreams/35b5dc00-26e5-4a49-8464-d6645dd7f8a7/content
ok,cached,3,United Nations Economic and Social Commission for Western Asia,Gravity Recovery and Climate Experiment (GRACE) Groundwater Subsetting Tool,www.unescwa.org,unknown,68723276,1426902,www_unescwa_org_871abc69,https://www.unescwa.org/sites/default/files/pubs/pdf/gravity-recovery-climate-experiment-groundwater-subsetting-tool-english_0.pdf
ok,cached,1,California Energy Commission,Building on the Cal-Adapt Platform to Deliver Actionable Information in Support ,www.energy.ca.gov,unknown,1390817,150761,www_energy_ca_gov_949643c3,https://www.energy.ca.gov/sites/default/files/2024-06/CEC-500-2024-060.pdf
