paper_id,doi,region,first_author,year,flagship,policy_title,policy_publisher,policy_country,policy_url,policy_published_on
131,10.1038/nature08238,igp,Matthew Rodell,2009,1,From Risk to Resilience: Helping People and Firms Adapt in South Asia,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/708d8176-918a-4f01-bdf4-d8ff33183603/content,2026-01-13 00:00:00 UTC
45,10.1029/2018jb016083,central_valley,Chandrakanta Ojha,2019,0,Resilient Economies: Strategies for Sinking Cities and Flood Risks,World Economic Forum,CH,https://reports.weforum.org/docs/WEF_Resilient_Economies_Strategies_for_Sinking_Cities_and_Flood_Risks_2025.pdf,2025-11-12 08:25:29 UTC
61,10.1126/sciadv.adx0298,central_valley,Hrishikesh A. Chandanpurkar,2025,0,Continental Drying: A Threat to Our Common Future,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/ed40c10d-0cb0-4fe3-9129-2e76137ea5f0/content,2025-11-04 00:00:00 UTC
38,10.1029/2010gl046442,central_valley,J. S. Famiglietti,2011,1,Continental Drying: A Threat to Our Common Future,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/ed40c10d-0cb0-4fe3-9129-2e76137ea5f0/content,2025-11-04 00:00:00 UTC
61,10.1126/sciadv.adx0298,central_valley,Hrishikesh A. Chandanpurkar,2025,0,Continental Drying: A Threat to Our Common Future,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/6d9488fa-f85f-4dbf-a96b-a4ccacf5a8ce/content,2025-11-04 00:00:00 UTC
38,10.1029/2010gl046442,central_valley,J. S. Famiglietti,2011,1,Continental Drying: A Threat to Our Common Future,World Bank,US,https://openknowledge.worldbank.org/server/api/core/bitstreams/6d9488fa-f85f-4dbf-a96b-a4ccacf5a8ce/content,2025-11-04 00:00:00 UTC
48,10.1088/1748-9326/ac16ff,central_valley,Bridget R. Scanlon,2021,0,Global Drought Outlook,Organisation for Economic Co-operation and Development (OECD),FR,https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/06/global-drought-outlook_28488e98/d492583a-en.pdf,2025-06-11 08:52:13 UTC
132,10.1038/nclimate2425,igp,J. S. Famiglietti,2014,1,Assessing the impacts of agricultural support policies on the environment,Organisation for Economic Co-operation and Development (OECD),FR,https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/05/assessing-the-impacts-of-agricultural-support-policies-on-the-environment_80c643f2/808f110c-en.pdf,2025-05-26 12:09:41 UTC
291,10.1007/s10040-006-0103-7,mississippi,Matthew Rodell,2006,1,Integration of Climate Data in the SAVi Nature-Based Infrastructure Model,The International Institute for Sustainable Development,CA,https://www.iisd.org/system/files/2020-09/intregration-climate-data-savi-nature-based-infrastructure-model.pdf,2025-02-26 00:00:00 UTC
291,10.1007/s10040-006-0103-7,mississippi,Matthew Rodell,2006,1,Integration of Climate Data in the SAVi Energy Model,The International Institute for Sustainable Development,CA,https://www.iisd.org/system/files/2020-09/intregration-climate-data-savi-energy-model.pdf,2025-02-26 00:00:00 UTC
291,10.1007/s10040-006-0103-7,mississippi,Matthew Rodell,2006,1,Integration of Climate Data in the SAVi Buildings Model,The International Institute for Sustainable Development,CA,https://www.iisd.org/system/files/2020-09/intregration-climate-data-savi-buildings-model.pdf,2025-02-26 00:00:00 UTC
291,10.1007/s10040-006-0103-7,mississippi,Matthew Rodell,2006,1,Integration of Climate Data in the SAVi Roads Model,The International Institute for Sustainable Development,CA,https://www.iisd.org/system/files/2020-09/intregration-climate-data-savi-roads-model.pdf,2025-02-26 00:00:00 UTC
291,10.1007/s10040-006-0103-7,mississippi,Matthew Rodell,2006,1,Integration of Climate Data in the SAVi Wastewater Model,The International Institute for Sustainable Development,CA,https://www.iisd.org/system/files/2020-09/intregration-climate-data-savi-wastewater-model.pdf,2025-02-26 00:00:00 UTC
