Study_area,area_km2,lon,lat,n_wells,trend_m_yr,continent,trend_cat,anchor
Central Parana Basin and Torres Syncline (Guarani Aquifer System),494871,-53.3959128929699,-25.766526593603,12,-0.29,S America,shallowing,other (new)
Northern Guarani Aquifer (Guarani Aquifer System),419237,-50.8574307428778,-20.1107372582477,18,0,S America,stable,other (new)
Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),330826,-58.2492363692785,-28.8381119959407,9,-0.18,S America,shallowing,other (new)
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),318913,-55.9432817090423,-2.8580491769155,1,-0.19,S America,shallowing,other (new)
Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),292840,137.193863448878,-26.5299640820597,23,0.04,Oceania,stable,other (new)
Eastern Eromanga Basin (Great Artesian Basin),290867,144.824296567856,-27.6363338980049,184,-0.02,Oceania,stable,other (new)
Northern Eromanga Basin (Great Artesian Basin),281571,142.610186944451,-22.3433104934875,154,-0.09,Oceania,stable,other (new)
Northern High Plains (High Plains),259376,-101.002703922242,41.3394803714914,5421,0,N America,stable,HP
Williston Basin (Northern Great Plains),242272,-103.274532058273,47.5311407876743,77,-0.02,N America,stable,other (new)
Central Eromanga Depocenter (Great Artesian Basin),214471,141.44428772563,-26.6377788323591,7,-0.02,Oceania,stable,other (new)
Western Parecis Basin (Parecis Basin),213494,-58.1210092734183,-12.9251061267287,7,0.02,S America,stable,other (new)
Upper Gangetic Plain (Indo-Gangetic Plain),199268,79.6664694079742,27.3119541616446,397,0.05,S Asia,stable,IGP
Stampriet Kalahari Karoo Aquifer System,194772,19.4543152133407,-24.4535352754216,4,0.06,Africa,stable,other (new)
Northcentral Mega Aquifer System (Mega Aquifer System),179365,47.2340267976724,27.9285364941961,1,0.2,Mid East,deepening,other (new)
Ozark Plateaus Aquifer System,172612,-92.7719063809266,37.1618744546686,283,-0.06,N America,stable,other (new)
Western Karoo Basin (Main Karoo Basin),146433,21.943352339077,-30.7681497288517,54,0.05,Africa,stable,other (new)
Middle Gangetic Plain (Indo-Gangetic Plain),145648,84.782614957168,26.1358040659066,101,0.05,S Asia,stable,IGP
Northern Mega Aquifer System (Mega Aquifer System),143434,43.442314387262,30.9182773228626,1,-0.03,Mid East,stable,other (new)
Canning Basin,130597,122.80220364525,-19.3667605544481,23,0.03,Oceania,stable,other (new)
Central Karoo Basin (Main Karoo Basin),128536,27.5336023010548,-30.3464150203532,9,0,Africa,stable,other (new)
Southern Carpentaria Basin (Great Artesian Basin),124001,140.712904222328,-18.549569033649,89,0.03,Oceania,stable,other (new)
Eastern Parecis Basin (Parecis Basin),118059,-53.4555218259645,-11.9506002165003,1,0.12,S America,deepening,other (new)
Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),117926,-41.9185847263772,-5.82104274227647,9,0.17,S America,deepening,other (new)
Wiso Basin (Daly-Wiso-Georgina Basins),116966,132.26713802247,-18.3596642124762,1,-0.22,Oceania,shallowing,other (new)
Northern Georgina Basin (Daly-Wiso-Georgina Basins),116661,134.927386993097,-17.9131258050471,1,0.1,Oceania,stable,other (new)
Dakota Aquifer System,110336,-99.1166818106529,44.5218958161265,49,-0.01,N America,stable,other (new)
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),107715,134.624067411426,-28.9905387654296,30,0.02,Oceania,stable,other (new)
Trans Gangetic Plain (Indo-Gangetic Plain),100322,75.927985314064,29.7481368230866,422,0.17,S Asia,deepening,IGP
Southcentral Mega Aquifer System (Mega Aquifer System),89916,49.6393107315888,24.5367069092908,9,0.22,Mid East,deepening,other (new)
