centre,truncation,filter,gia_model,c20_treatment,c30_treatment,geocenter
CSR,60,DDK2,none,replaced,replaced,GravIS
CSR,60,DDK2,Geruo_ICE5G_VM2,replaced,replaced,GravIS
CSR,60,DDK2,Peltier_ICE6G_D,replaced,replaced,GravIS
CSR,60,DDK3,none,replaced,replaced,GravIS
CSR,60,DDK3,Geruo_ICE5G_VM2,replaced,replaced,GravIS
CSR,60,DDK3,Peltier_ICE6G_D,replaced,replaced,GravIS
CSR,60,G300,none,replaced,replaced,GravIS
CSR,60,G300,Geruo_ICE5G_VM2,replaced,replaced,GravIS
CSR,60,G300,Peltier_ICE6G_D,replaced,replaced,GravIS
CSR,60,G400,none,replaced,replaced,GravIS
CSR,60,G400,Geruo_ICE5G_VM2,replaced,replaced,GravIS
CSR,60,G400,Peltier_ICE6G_D,replaced,replaced,GravIS
CSR,60,G500,none,replaced,replaced,GravIS
CSR,60,G500,Geruo_ICE5G_VM2,replaced,replaced,GravIS
CSR,60,G500,Peltier_ICE6G_D,replaced,replaced,GravIS
CSR,60,Swenson_G300,none,replaced,replaced,GravIS
CSR,60,Swenson_G300,Geruo_ICE5G_VM2,replaced,replaced,GravIS
CSR,60,Swenson_G300,Peltier_ICE6G_D,replaced,replaced,GravIS
CSR,60,Swenson_G500,none,replaced,replaced,GravIS
CSR,60,Swenson_G500,Geruo_ICE5G_VM2,replaced,replaced,GravIS
CSR,60,Swenson_G500,Peltier_ICE6G_D,replaced,replaced,GravIS
CSR,96,DDK2,none,replaced,replaced,GravIS
CSR,96,DDK2,Geruo_ICE5G_VM2,replaced,replaced,GravIS
CSR,96,DDK2,Peltier_ICE6G_D,replaced,replaced,GravIS
CSR,96,DDK3,none,replaced,replaced,GravIS
CSR,96,DDK3,Geruo_ICE5G_VM2,replaced,replaced,GravIS
CSR,96,DDK3,Peltier_ICE6G_D,replaced,replaced,GravIS
CSR,96,G300,none,replaced,replaced,GravIS
CSR,96,G300,Geruo_ICE5G_VM2,replaced,replaced,GravIS
CSR,96,G300,Peltier_ICE6G_D,replaced,replaced,GravIS
CSR,96,G400,none,replaced,replaced,GravIS
CSR,96,G400,Geruo_ICE5G_VM2,replaced,replaced,GravIS
CSR,96,G400,Peltier_ICE6G_D,replaced,replaced,GravIS
CSR,96,G500,none,replaced,replaced,GravIS
CSR,96,G500,Geruo_ICE5G_VM2,replaced,replaced,GravIS
CSR,96,G500,Peltier_ICE6G_D,replaced,replaced,GravIS
CSR,96,Swenson_G300,none,replaced,replaced,GravIS
CSR,96,Swenson_G300,Geruo_ICE5G_VM2,replaced,replaced,GravIS
CSR,96,Swenson_G300,Peltier_ICE6G_D,replaced,replaced,GravIS
CSR,96,Swenson_G500,none,replaced,replaced,GravIS
CSR,96,Swenson_G500,Geruo_ICE5G_VM2,replaced,replaced,GravIS
CSR,96,Swenson_G500,Peltier_ICE6G_D,replaced,replaced,GravIS
GFZ,60,DDK2,none,replaced,replaced,GravIS
GFZ,60,DDK2,Geruo_ICE5G_VM2,replaced,replaced,GravIS
GFZ,60,DDK2,Peltier_ICE6G_D,replaced,replaced,GravIS
GFZ,60,DDK3,none,replaced,replaced,GravIS
GFZ,60,DDK3,Geruo_ICE5G_VM2,replaced,replaced,GravIS
GFZ,60,DDK3,Peltier_ICE6G_D,replaced,replaced,GravIS
GFZ,60,G300,none,replaced,replaced,GravIS
GFZ,60,G300,Geruo_ICE5G_VM2,replaced,replaced,GravIS
GFZ,60,G300,Peltier_ICE6G_D,replaced,replaced,GravIS
GFZ,60,G400,none,replaced,replaced,GravIS
GFZ,60,G400,Geruo_ICE5G_VM2,replaced,replaced,GravIS
GFZ,60,G400,Peltier_ICE6G_D,replaced,replaced,GravIS
GFZ,60,G500,none,replaced,replaced,GravIS
GFZ,60,G500,Geruo_ICE5G_VM2,replaced,replaced,GravIS
GFZ,60,G500,Peltier_ICE6G_D,replaced,replaced,GravIS
GFZ,60,Swenson_G300,none,replaced,replaced,GravIS
GFZ,60,Swenson_G300,Geruo_ICE5G_VM2,replaced,replaced,GravIS
GFZ,60,Swenson_G300,Peltier_ICE6G_D,replaced,replaced,GravIS
GFZ,60,Swenson_G500,none,replaced,replaced,GravIS
GFZ,60,Swenson_G500,Geruo_ICE5G_VM2,replaced,replaced,GravIS
GFZ,60,Swenson_G500,Peltier_ICE6G_D,replaced,replaced,GravIS
GFZ,96,DDK2,none,replaced,replaced,GravIS
GFZ,96,DDK2,Geruo_ICE5G_VM2,replaced,replaced,GravIS
GFZ,96,DDK2,Peltier_ICE6G_D,replaced,replaced,GravIS
GFZ,96,DDK3,none,replaced,replaced,GravIS
GFZ,96,DDK3,Geruo_ICE5G_VM2,replaced,replaced,GravIS
GFZ,96,DDK3,Peltier_ICE6G_D,replaced,replaced,GravIS
GFZ,96,G300,none,replaced,replaced,GravIS
GFZ,96,G300,Geruo_ICE5G_VM2,replaced,replaced,GravIS
GFZ,96,G300,Peltier_ICE6G_D,replaced,replaced,GravIS
GFZ,96,G400,none,replaced,replaced,GravIS
GFZ,96,G400,Geruo_ICE5G_VM2,replaced,replaced,GravIS
GFZ,96,G400,Peltier_ICE6G_D,replaced,replaced,GravIS
GFZ,96,G500,none,replaced,replaced,GravIS
GFZ,96,G500,Geruo_ICE5G_VM2,replaced,replaced,GravIS
GFZ,96,G500,Peltier_ICE6G_D,replaced,replaced,GravIS
GFZ,96,Swenson_G300,none,replaced,replaced,GravIS
GFZ,96,Swenson_G300,Geruo_ICE5G_VM2,replaced,replaced,GravIS
GFZ,96,Swenson_G300,Peltier_ICE6G_D,replaced,replaced,GravIS
GFZ,96,Swenson_G500,none,replaced,replaced,GravIS
GFZ,96,Swenson_G500,Geruo_ICE5G_VM2,replaced,replaced,GravIS
