Study_area,l2_median,l2_R,l2_sign_agree,l2_spans_zero,m_median,m_R,m_sign_agree,n_products,agree_sign
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),0.166185551391624,2.3929952746294,0.719791666666667,TRUE,0.332392632961273,0.711686176383091,1,3,TRUE
Alsatian Aquifer and Upper Rhine Valley,-0.352424016413597,0.810431160856281,0.955208333333333,TRUE,-0.693523108959198,0.0698757162095253,1,3,TRUE
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),0.415123030830477,0.266223733653164,1,FALSE,0.517649412155151,0.330439014931519,1,3,TRUE
Antlers Aquifer,0.0253297220523961,16.5709573594416,0.540104166666667,TRUE,0.128076583147049,1.24522860419817,1,3,TRUE
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),-0.16639946075655,1.3123269911502,0.901041666666667,TRUE,0.00144413381349295,107.764024146686,0.666666666666667,3,FALSE
Arrowsmith and Dandaragan Plateau (Perth Basin),-0.0140101173372378,16.6210920184031,0.528125,TRUE,0.129376202821732,1.86374504882928,1,3,FALSE
Bangkok Basin (Lower Chao Phraya Basin),-0.555738426351365,0.700069084046886,0.9890625,TRUE,-1.06028687953949,0.139413689461298,1,3,TRUE
Bari Doab (Indus Basin),-1.66562463764168,0.2648512821337,1,FALSE,-1.45469617843628,0.160055711456873,1,3,TRUE
Barind Tract and Central Floodplains (Bengal Basin),-0.693839733110039,0.420887199304087,1,FALSE,-1.06831514835358,0.576551910987196,1,3,TRUE
Bighorn Basin,0.0596912261930655,8.97354868576032,0.563541666666667,TRUE,-0.0139529965817928,3.43340090813485,1,3,FALSE
Black Hills Uplift,0.48879640738389,1.07665387947977,0.80625,TRUE,0.60481584072113,0.173697655868272,1,3,TRUE
Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),0.0909482961015654,4.67035708772512,0.6171875,TRUE,-0.0950765609741211,2.26241160539646,0.666666666666667,3,FALSE
Blue Mountains and Clearwater Embayment (Columbia Plateau Regional Aquifer System),-0.181553491635964,2.03268492118599,0.772395833333333,TRUE,-0.0489626489579678,7.273498131483,0.666666666666667,3,TRUE
Bluffton Till Plain (Central Lowland Till Plain),-0.0485579722949124,10.3695151691975,0.546875,TRUE,0.0342699773609638,7.50488630791311,0.666666666666667,3,FALSE
Canning Basin,0.0267579736715719,9.03151695514121,0.5734375,TRUE,0.101780913770199,1.89844886863532,0.666666666666667,3,TRUE
Catahoula Area (Gulf Coast Regional Aquifer System),0.180408254262433,1.89907484736905,0.730208333333333,TRUE,0.135138139128685,1.32283511451745,1,3,TRUE
Central Allegheny Plateau (Appalachian Plateaus),-0.0827299404378283,6.2282567492936,0.594270833333333,TRUE,-0.000633071584161371,105.760801655963,0.666666666666667,3,TRUE
Central Alluvial-Laucustrine Plain (North China Plain),-0.659523598946021,0.69510464714148,0.9875,TRUE,-1.34977054595947,0.165562954264603,1,3,TRUE
Central Cambay Basin (Cambay Basin),-0.0423808865763603,6.92632351039288,0.569791666666667,TRUE,0.0750797614455223,3.95770819492043,0.666666666666667,3,FALSE
Central Carrizo-Wilcox (Carrizo-Wilcox),-0.308834189720395,1.34624376354104,0.917708333333333,TRUE,-0.354952841997147,0.871694871665485,1,3,TRUE
Central Coromandel Fractured Charnockite and Gneiss Aquifers (Coromandel Coastal Plain),0.0730170672215846,1.67125206967558,0.791666666666667,TRUE,-0.0124062551185489,36.920448175697,0.666666666666667,3,FALSE
Central Cumberland Plateau and Sequatchie Valley (Appalachian Plateaus),0.168082316783524,2.19626309664235,0.697916666666667,TRUE,-0.00867128372192383,11.8198695697003,0.666666666666667,3,FALSE
Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),0.473016268224053,0.495365572872284,1,FALSE,0.520492851734161,0.372725959960016,1,3,TRUE
Central Eromanga Depocenter (Great Artesian Basin),-0.0624164133262279,3.35955604376391,0.615625,TRUE,0.069590300321579,0.540853233938442,1,3,FALSE
Central Eucla Basin (Eucla Basin),-0.102168440629784,2.23356880786986,0.698958333333333,TRUE,0.107147328555584,0.717130316650269,1,3,FALSE
Central High Plains (High Plains),-0.925677987272023,1.30278772180904,0.975,TRUE,-1.6709851026535,0.284830914276342,1,3,TRUE
Central Huaihe Plain (Huaihe River Basin),-0.380302814072964,1.40752358262916,0.928125,TRUE,-0.606287479400635,0.733890192272452,1,3,TRUE
Central Karoo Basin (Main Karoo Basin),0.130066806479593,1.11399025767367,0.891145833333333,TRUE,0.273287564516068,0.392204740475173,1,3,TRUE
