recipe,centre,truncation,filter,gia_model,c20_treatment,c30_treatment,geocenter,anchor_trend_cm_yr,flip_trend_cm_yr,family,mean_score
1,CSR,60,G300,none,replaced,replaced,none,-3.12732534533907,0.189496658291174,1,0.376590952487634
2,CSR,60,G300,none,replaced,replaced,GravIS,-3.2225109748484,0.118748568936853,1,0.359313712593676
3,CSR,60,G300,none,replaced,original,none,-3.12987073297536,0.186948027578997,1,0.374397041213087
4,CSR,60,G300,none,replaced,original,GravIS,-3.2250563624847,0.116199938224676,1,0.357014978393184
5,CSR,60,G300,none,original,replaced,none,-3.11681242735927,0.207622135759874,1,0.385396464440737
6,CSR,60,G300,none,original,replaced,GravIS,-3.21199805686861,0.136874046195132,1,0.368945656837964
7,CSR,60,G300,none,original,original,none,-3.11935781583343,0.20507350544512,1,0.383171526120962
8,CSR,60,G300,none,original,original,GravIS,-3.21454344534276,0.134325415880379,1,0.366596095070285
9,CSR,60,G300,Geruo_ICE5G_VM2,replaced,replaced,none,-3.28228928747976,0.0477420449248302,1,0.343954002763685
10,CSR,60,G300,Geruo_ICE5G_VM2,replaced,replaced,GravIS,-3.3774749169891,-0.02300604442949,1,0.326176352891885
11,CSR,60,G300,Geruo_ICE5G_VM2,replaced,original,none,-3.28483467511606,0.045193414212653,1,0.341599951262662
12,CSR,60,G300,Geruo_ICE5G_VM2,replaced,original,GravIS,-3.38002030462539,-0.0255546751416671,1,0.323820587574323
13,CSR,60,G300,Geruo_ICE5G_VM2,original,replaced,none,-3.27177636949997,0.0658675223935303,1,0.353640144895444
14,CSR,60,G300,Geruo_ICE5G_VM2,original,replaced,GravIS,-3.36696199900931,-0.00488056717121135,1,0.336197289403873
15,CSR,60,G300,Geruo_ICE5G_VM2,original,original,none,-3.27432175797412,0.063318892078777,1,0.351228171129181
16,CSR,60,G300,Geruo_ICE5G_VM2,original,original,GravIS,-3.36950738748345,-0.00742919748596466,1,0.333766939441119
17,CSR,60,G300,Caron_2018,replaced,replaced,none,-3.31183252802806,-0.0138814936393325,1,0.332514584468349
18,CSR,60,G300,Caron_2018,replaced,replaced,GravIS,-3.40701815753739,-0.0846295829936525,1,0.314830129529505
19,CSR,60,G300,Caron_2018,replaced,original,none,-3.31437791566435,-0.0164301243515096,1,0.330134177034841
20,CSR,60,G300,Caron_2018,replaced,original,GravIS,-3.40956354517369,-0.0871782137058297,1,0.312479003531677
21,CSR,60,G300,Caron_2018,original,replaced,none,-3.30131961004827,0.0042439838293678,1,0.34236400037938
22,CSR,60,G300,Caron_2018,original,replaced,GravIS,-3.3965052395576,-0.0665041057353737,1,0.324858103471748
23,CSR,60,G300,Caron_2018,original,original,none,-3.30386499852242,0.00169535351461438,1,0.339916767548164
24,CSR,60,G300,Caron_2018,original,original,GravIS,-3.39905062803175,-0.0690527360501272,1,0.322425420609137
25,CSR,60,G300,Peltier_ICE6G_D,replaced,replaced,none,-3.34207127604693,-0.00603938259662222,1,0.331432286085602
26,CSR,60,G300,Peltier_ICE6G_D,replaced,replaced,GravIS,-3.43725690555626,-0.0767874719509426,1,0.313821594209027
27,CSR,60,G300,Peltier_ICE6G_D,replaced,original,none,-3.34461666368322,-0.00858801330879953,1,0.329062950780946
28,CSR,60,G300,Peltier_ICE6G_D,replaced,original,GravIS,-3.43980229319256,-0.0793361026631198,1,0.311481616845305
29,CSR,60,G300,Peltier_ICE6G_D,original,replaced,none,-3.33155835806713,0.0120860948720778,1,0.341262873879081
30,CSR,60,G300,Peltier_ICE6G_D,original,replaced,GravIS,-3.42674398757647,-0.0586619946926639,1,0.323827184781228
31,CSR,60,G300,Peltier_ICE6G_D,original,original,none,-3.33410374654128,0.00953746455732438,1,0.338826674813605
32,CSR,60,G300,Peltier_ICE6G_D,original,original,GravIS,-3.42928937605062,-0.0612106250074174,1,0.321405904172095
33,CSR,60,G400,none,replaced,replaced,none,-2.09305383779921,-0.148890956877243,1,0.348408564860292
34,CSR,60,G400,none,replaced,replaced,GravIS,-2.18812092277839,-0.21955093460324,1,0.324331424690371
35,CSR,60,G400,none,replaced,original,none,-2.09558026526113,-0.15142060314099,1,0.345221382953566
36,CSR,60,G400,none,replaced,original,GravIS,-2.19064735024031,-0.222080581043254,1,0.32123239536289
37,CSR,60,G400,none,original,replaced,none,-2.08258014995851,-0.130833112119035,1,0.360691702174495
38,CSR,60,G400,none,original,replaced,GravIS,-2.17764723493769,-0.201493089892027,1,0.33696590143035
39,CSR,60,G400,none,original,original,none,-2.08510657704816,-0.133362758961853,1,0.357394655218359
40,CSR,60,G400,none,original,original,GravIS,-2.18017366202734,-0.204022736920486,1,0.333727619991664
41,CSR,60,G400,Geruo_ICE5G_VM2,replaced,replaced,none,-2.2480177799399,-0.290645570243586,3,0.303572878228741
42,CSR,60,G400,Geruo_ICE5G_VM2,replaced,replaced,GravIS,-2.34308486491909,-0.361305547969583,3,0.282063371886907
43,CSR,60,G400,Geruo_ICE5G_VM2,replaced,original,none,-2.25054420740183,-0.293175216507334,3,0.300529049656314
44,CSR,60,G400,Geruo_ICE5G_VM2,replaced,original,GravIS,-2.34561129238101,-0.363835194409598,3,0.279221094504992
45,CSR,60,G400,Geruo_ICE5G_VM2,original,replaced,none,-2.23754409209921,-0.272587725485379,1,0.315869790092183
46,CSR,60,G400,Geruo_ICE5G_VM2,original,replaced,GravIS,-2.33261117707839,-0.343247703258371,3,0.294025148867155
47,CSR,60,G400,Geruo_ICE5G_VM2,original,original,none,-2.24007051918885,-0.275117372328197,1,0.31268030863533
48,CSR,60,G400,Geruo_ICE5G_VM2,original,original,GravIS,-2.33513760416804,-0.34577735028683,3,0.29102842239741
49,CSR,60,G400,Caron_2018,replaced,replaced,none,-2.2775610204882,-0.352269108807749,3,0.289173434076518
50,CSR,60,G400,Caron_2018,replaced,replaced,GravIS,-2.37262810546739,-0.422929086533746,3,0.268767302813944
51,CSR,60,G400,Caron_2018,replaced,original,none,-2.28008744795012,-0.354798755071496,3,0.286222624576945
52,CSR,60,G400,Caron_2018,replaced,original,GravIS,-2.37515453292931,-0.42545873297376,3,0.266036453887037
53,CSR,60,G400,Caron_2018,original,replaced,none,-2.2670873326475,-0.334211264049541,3,0.301244459838052
54,CSR,60,G400,Caron_2018,original,replaced,GravIS,-2.36215441762669,-0.404871241822534,3,0.280360579653138
55,CSR,60,G400,Caron_2018,original,original,none,-2.26961375973715,-0.336740910892359,3,0.298142556991632
56,CSR,60,G400,Caron_2018,original,original,GravIS,-2.36468084471634,-0.407400888850992,3,0.277475709759459
57,CSR,60,G400,Peltier_ICE6G_D,replaced,replaced,none,-2.30779976850707,-0.344426997765038,3,0.287734423855167
58,CSR,60,G400,Peltier_ICE6G_D,replaced,replaced,GravIS,-2.40286685348625,-0.415086975491036,3,0.267460104880252
59,CSR,60,G400,Peltier_ICE6G_D,replaced,original,none,-2.31032619596899,-0.346956644028786,3,0.284799454909607
60,CSR,60,G400,Peltier_ICE6G_D,replaced,original,GravIS,-2.40539328094818,-0.41761662193105,3,0.264744417626993
61,CSR,60,G400,Peltier_ICE6G_D,original,replaced,none,-2.29732608066637,-0.326369153006831,3,0.299769981510859
62,CSR,60,G400,Peltier_ICE6G_D,original,replaced,GravIS,-2.39239316564556,-0.397029130779823,3,0.27901069854751
63,CSR,60,G400,Peltier_ICE6G_D,original,original,none,-2.29985250775602,-0.328898799849649,3,0.296684053949625
64,CSR,60,G400,Peltier_ICE6G_D,original,original,GravIS,-2.3949195927352,-0.399558777808283,3,0.276141523207548
65,CSR,60,G500,none,replaced,replaced,none,-1.42985334373239,-0.245303052503653,1,0.321760082444384
66,CSR,60,G500,none,replaced,replaced,GravIS,-1.52476806696573,-0.315849787709998,3,0.294406288142693
67,CSR,60,G500,none,replaced,original,none,-1.4323555759706,-0.247808471293998,1,0.318037338207124
68,CSR,60,G500,none,replaced,original,GravIS,-1.52727029920394,-0.318355206500343,3,0.290932322839948
69,CSR,60,G500,none,original,replaced,none,-1.41942993290094,-0.227331890174994,1,0.336327586535614
70,CSR,60,G500,none,original,replaced,GravIS,-1.51434465607986,-0.297878625531171,3,0.308920423011412
71,CSR,60,G500,none,original,original,none,-1.42193216327941,-0.22983730952032,1,0.332419887929642
72,CSR,60,G500,none,original,original,GravIS,-1.51684688645833,-0.300384044726664,3,0.305232789714725
73,CSR,60,G500,Geruo_ICE5G_VM2,replaced,replaced,none,-1.58481728587308,-0.387057665869997,3,0.270256220819535
74,CSR,60,G500,Geruo_ICE5G_VM2,replaced,replaced,GravIS,-1.67973200910643,-0.457604401076341,3,0.24786285099804
75,CSR,60,G500,Geruo_ICE5G_VM2,replaced,original,none,-1.5873195181113,-0.389563084660341,3,0.26694159499636
76,CSR,60,G500,Geruo_ICE5G_VM2,replaced,original,GravIS,-1.68223424134464,-0.460109819866686,3,0.24487713418428
77,CSR,60,G500,Geruo_ICE5G_VM2,original,replaced,none,-1.57439387504164,-0.369086503541338,3,0.284065783512608
78,CSR,60,G500,Geruo_ICE5G_VM2,original,replaced,GravIS,-1.66930859822056,-0.439633238897514,3,0.260874305268197
79,CSR,60,G500,Geruo_ICE5G_VM2,original,original,none,-1.57689610542011,-0.371591922886663,3,0.28053810886201
80,CSR,60,G500,Geruo_ICE5G_VM2,original,original,GravIS,-1.67181082859902,-0.442138658093008,3,0.257680459369811
81,CSR,60,G500,Caron_2018,replaced,replaced,none,-1.61436052642138,-0.448681204434159,3,0.254735820946714
82,CSR,60,G500,Caron_2018,replaced,replaced,GravIS,-1.70927524965472,-0.519227939640504,3,0.23405913372627
83,CSR,60,G500,Caron_2018,replaced,original,none,-1.61686275865959,-0.451186623224504,3,0.251597947976181
84,CSR,60,G500,Caron_2018,replaced,original,GravIS,-1.71177748189294,-0.521733358430849,3,0.231247588783078
85,CSR,60,G500,Caron_2018,original,replaced,none,-1.60393711558994,-0.4307100421055,3,0.268028027509194
86,CSR,60,G500,Caron_2018,original,replaced,GravIS,-1.69885183876885,-0.501256777461677,3,0.24645880952127
87,CSR,60,G500,Caron_2018,original,original,none,-1.6064393459684,-0.433215461450826,3,0.264679865001145
88,CSR,60,G500,Caron_2018,original,original,GravIS,-1.70135406914732,-0.50376219665717,3,0.24344829117918
89,CSR,60,G500,Peltier_ICE6G_D,replaced,replaced,none,-1.64459927444025,-0.440839093391449,3,0.252975990705989
90,CSR,60,G500,Peltier_ICE6G_D,replaced,replaced,GravIS,-1.73951399767359,-0.511385828597794,3,0.232497666781708
91,CSR,60,G500,Peltier_ICE6G_D,replaced,original,none,-1.64710150667846,-0.443344512181794,3,0.249859823250847
92,CSR,60,G500,Peltier_ICE6G_D,replaced,original,GravIS,-1.7420162299118,-0.513891247388139,3,0.2297064986554
93,CSR,60,G500,Peltier_ICE6G_D,original,replaced,none,-1.6341758636088,-0.422867931062791,3,0.266210179632341
94,CSR,60,G500,Peltier_ICE6G_D,original,replaced,GravIS,-1.72909058678772,-0.493414666418967,3,0.244829120643907
95,CSR,60,G500,Peltier_ICE6G_D,original,original,none,-1.63667809398727,-0.425373350408116,3,0.262884101997896
96,CSR,60,G500,Peltier_ICE6G_D,original,original,GravIS,-1.73159281716619,-0.49592008561446,3,0.241840042957174
97,CSR,60,Swenson_G300,none,replaced,replaced,none,-2.10754581065425,0.44460474069713,0,0.405688754770204
98,CSR,60,Swenson_G300,none,replaced,replaced,GravIS,-2.20273143810077,0.373856652810939,0,0.384600752720566
99,CSR,60,Swenson_G300,none,replaced,original,none,-2.11009119829055,0.442056109984953,0,0.402815918198812
100,CSR,60,Swenson_G300,none,replaced,original,GravIS,-2.20527682573707,0.371308022098762,0,0.381567574798989
101,CSR,60,Swenson_G300,none,original,replaced,none,-2.09703289267446,0.46273021816583,0,0.416151011684401
102,CSR,60,Swenson_G300,none,original,replaced,GravIS,-2.19221852012098,0.391982130069218,0,0.396571729789996
103,CSR,60,Swenson_G300,none,original,original,none,-2.09957828114861,0.460181587851077,0,0.41319658249269
104,CSR,60,Swenson_G300,none,original,original,GravIS,-2.19476390859513,0.389433499754464,0,0.393437024121288
105,CSR,60,Swenson_G300,Geruo_ICE5G_VM2,replaced,replaced,none,-2.26250975279495,0.302850127330786,0,0.365512418778931
106,CSR,60,Swenson_G300,Geruo_ICE5G_VM2,replaced,replaced,GravIS,-2.35769538024147,0.232102039444595,0,0.342930579663934
107,CSR,60,Swenson_G300,Geruo_ICE5G_VM2,replaced,original,none,-2.26505514043125,0.300301496618609,0,0.362394631530043
108,CSR,60,Swenson_G300,Geruo_ICE5G_VM2,replaced,original,GravIS,-2.36024076787776,0.229553408732418,0,0.339795154304123
109,CSR,60,Swenson_G300,Geruo_ICE5G_VM2,original,replaced,none,-2.25199683481516,0.320975604799487,0,0.377603442103184
110,CSR,60,Swenson_G300,Geruo_ICE5G_VM2,original,replaced,GravIS,-2.34718246226168,0.250227516702874,0,0.355841316595054
111,CSR,60,Swenson_G300,Geruo_ICE5G_VM2,original,original,none,-2.25454222328931,0.318426974484733,0,0.374377733234529
112,CSR,60,Swenson_G300,Geruo_ICE5G_VM2,original,original,GravIS,-2.34972785073583,0.247678886388121,0,0.352573129460731
113,CSR,60,Swenson_G300,Caron_2018,replaced,replaced,none,-2.29205299334325,0.241226588766624,0,0.351308115942108
114,CSR,60,Swenson_G300,Caron_2018,replaced,replaced,GravIS,-2.38723862078977,0.170478500880433,0,0.328511498143388
115,CSR,60,Swenson_G300,Caron_2018,replaced,original,none,-2.29459838097954,0.238677958054447,0,0.34813969293428
116,CSR,60,Swenson_G300,Caron_2018,replaced,original,GravIS,-2.38978400842606,0.167929870168256,0,0.325377821114117
117,CSR,60,Swenson_G300,Caron_2018,original,replaced,none,-2.28154007536345,0.259352066235324,0,0.363821540898326
118,CSR,60,Swenson_G300,Caron_2018,original,replaced,GravIS,-2.37672570280997,0.188603978138711,0,0.341580806090736
119,CSR,60,Swenson_G300,Caron_2018,original,original,none,-2.2840854638376,0.256803435920571,0,0.36053325544468
120,CSR,60,Swenson_G300,Caron_2018,original,original,GravIS,-2.37927109128413,0.186055347823958,0,0.338302743299624
121,CSR,60,Swenson_G300,Peltier_ICE6G_D,replaced,replaced,none,-2.32229174136211,0.249068699809334,0,0.349812866011036
122,CSR,60,Swenson_G300,Peltier_ICE6G_D,replaced,replaced,GravIS,-2.41747736880863,0.178320611923143,0,0.327212371861978
123,CSR,60,Swenson_G300,Peltier_ICE6G_D,replaced,original,none,-2.32483712899841,0.246520069097157,0,0.34666737520871
124,CSR,60,Swenson_G300,Peltier_ICE6G_D,replaced,original,GravIS,-2.42002275644493,0.175771981210966,0,0.32409971578971
125,CSR,60,Swenson_G300,Peltier_ICE6G_D,original,replaced,none,-2.31177882338232,0.267194177278034,0,0.36225541400117
126,CSR,60,Swenson_G300,Peltier_ICE6G_D,original,replaced,GravIS,-2.40696445082884,0.196446089181421,0,0.340209024724581
127,CSR,60,Swenson_G300,Peltier_ICE6G_D,original,original,none,-2.31432421185647,0.264645546963281,0,0.3589906607859
128,CSR,60,Swenson_G300,Peltier_ICE6G_D,original,original,GravIS,-2.40950983930299,0.193897458866668,0,0.336953112088575
129,CSR,60,Swenson_G500,none,replaced,replaced,none,-1.10127009268015,-0.0703641184537047,1,0.328433539820686
130,CSR,60,Swenson_G500,none,replaced,replaced,GravIS,-1.19618481540806,-0.140910853683692,3,0.295148502280025
