Study_area,abs_GRACE_trend,dominance_R,area_km2,lon,lat,n_wells,trend_m_yr,continent,trend_cat,anchor,abs_trend_m_yr,ai_mean,ai_std,n_pixels,climate_zone,is_anchor,anchor_short
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),1.94327330273687,0.381380061053949,318913,-55.9432817090423,-2.8580491769155,1,-0.19,S America,shallowing,other (new),0.19,1.73655011524099,0.198941690539409,373565,humid,FALSE,
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),0.324116006422784,1.45836013357038,107715,134.624067411426,-28.9905387654296,30,0.02,Oceania,stable,other (new),0.02,0.0702764038764115,0.00849208317518242,143638,arid,FALSE,
Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),1.59559775576277,0.435857285050724,50216,-87.7797236104302,33.2650588776618,39,0.07,N America,stable,other (new),0.07,1.12286483629507,0.0571592870175286,70004,humid,FALSE,
Canning Basin,0.0765629727065335,7.03367220752707,130597,122.80220364525,-19.3667605544481,23,0.03,Oceania,stable,other (new),0.03,0.200395311727174,0.0729287096369091,161744,semi-arid,FALSE,
Central Allegheny Plateau (Appalachian Plateaus),1.52493467012074,0.436443290776611,52939,-80.7076474539419,39.49149819541,17,-0.02,N America,stable,other (new),0.02,1.09921011866722,0.100896928102953,79803,humid,FALSE,
Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),2.2024285106053,0.527491612191317,81286,76.7633955346208,15.3733213872061,303,0.18,S Asia,deepening,other (new),0.18,0.345970244461809,0.0747713720165355,98543,semi-arid,FALSE,
Central Eromanga Depocenter (Great Artesian Basin),0.575761098690007,0.874412548112022,214471,141.44428772563,-26.6377788323591,7,-0.02,Oceania,stable,other (new),0.02,0.0997152508115173,0.0308452523853766,280031,arid,FALSE,
Central Eucla Basin (Eucla Basin),0.463535144462387,1.00840141725538,63315,133.208409341311,-31.5685760722495,87,-0.02,Oceania,stable,other (new),0.02,0.13384354496133,0.0340350254478509,86630,arid,FALSE,
Central High Plains (High Plains),1.95725903027607,0.459832293697222,71803,-101.575915225444,36.747158501073,1301,0.45,N America,deepening,HP,0.45,0.257796980271105,0.0375922060312956,104314,semi-arid,TRUE,HP Central
Central Huaihe Plain (Huaihe River Basin),1.24291997192128,0.411824115286569,79573,115.718872122583,33.9028950593564,61,0.17,E Asia,deepening,other (new),0.17,0.662863474259934,0.107855861751457,111713,humid,FALSE,
Central Karoo Basin (Main Karoo Basin),1.09549057402069,0.494571885540221,128536,27.5336023010548,-30.3464150203532,9,0,Africa,stable,other (new),0,0.48554486727702,0.154483756133383,173670,semi-arid,FALSE,
Central Minnesota Surficial and Buried Sand and Gravel Aquifers,1.89926627984494,0.417050627940254,75252,-94.475076895903,46.6560199290738,256,-0.01,N America,stable,other (new),0.01,0.803030276122508,0.102449535612263,127371,humid,FALSE,
Central Mississippi Embayment (Mississippi Embayment),1.74548699624556,0.342035316787028,89580,-90.8765618368462,34.4311006178087,1844,0.01,N America,stable,other (new),0.01,1.02169553813449,0.0459680894864676,126539,humid,FALSE,
Central Parana Basin and Torres Syncline (Guarani Aquifer System),1.23414369142704,0.239195958823968,494871,-53.3959128929699,-25.766526593603,12,-0.29,S America,shallowing,other (new),0.29,1.30855601419118,0.248035518972469,641807,humid,FALSE,
Central Piedmont Upland (Piedmont Plateau),1.04780988625552,0.581830887547016,57273,-79.1196917143535,36.5236530682044,21,-0.02,N America,stable,other (new),0.02,1.0075083373494,0.0421489600309833,83000,humid,FALSE,
Coonamble Embayment (Great Artesian Basin),1.81882591084951,0.447744366594986,65411,148.504731989458,-30.8165096440184,792,0.11,Oceania,deepening,other (new),0.11,0.317322705210644,0.0662424267846219,88799,semi-arid,FALSE,
