month,mid_decimal_year
2002-04,2002.290212
2002-05,2002.353183
2002-08,2002.621492
2002-09,2002.703628
2002-10,2002.788501
2002-11,2002.870637
2002-12,2002.955510
2003-01,2003.041068
2003-02,2003.120465
2003-03,2003.202601
2003-04,2003.284736
2003-05,2003.355921
2003-07,2003.536619
2003-08,2003.621492
2003-09,2003.703628
2003-10,2003.788501
2003-11,2003.870637
2003-12,2003.955510
2004-01,2004.016427
2004-02,2004.125941
2004-03,2004.205339
2004-04,2004.287474
2004-05,2004.372348
2004-06,2004.454483
2004-07,2004.539357
2004-08,2004.624230
2004-09,2004.706366
2004-10,2004.791239
2004-11,2004.873374
2004-12,2004.958248
2005-01,2005.041068
2005-02,2005.120465
2005-03,2005.202601
2005-04,2005.284736
2005-05,2005.369610
2005-06,2005.451745
2005-07,2005.536619
2005-08,2005.621492
2005-09,2005.703628
2005-10,2005.788501
2005-11,2005.870637
2005-12,2005.955510
2006-01,2006.041068
2006-02,2006.120465
2006-03,2006.202601
2006-04,2006.284736
2006-05,2006.369610
2006-06,2006.451745
2006-07,2006.536619
2006-08,2006.621492
2006-09,2006.703628
2006-10,2006.788501
2006-11,2006.870637
2006-12,2006.955510
2007-01,2007.041068
2007-02,2007.120465
2007-03,2007.202601
2007-04,2007.284736
2007-05,2007.369610
2007-06,2007.451745
2007-07,2007.536619
2007-08,2007.621492
2007-09,2007.703628
2007-10,2007.788501
2007-11,2007.870637
2007-12,2007.955510
2008-01,2008.041068
2008-02,2008.123203
2008-03,2008.205339
2008-04,2008.287474
2008-05,2008.372348
2008-06,2008.454483
2008-07,2008.539357
2008-08,2008.624230
2008-09,2008.706366
2008-10,2008.791239
2008-11,2008.873374
2008-12,2008.958248
2009-01,2009.041068
2009-02,2009.120465
2009-03,2009.202601
2009-04,2009.284736
2009-05,2009.369610
2009-06,2009.451745
2009-07,2009.536619
2009-08,2009.621492
2009-09,2009.703628
2009-10,2009.788501
2009-11,2009.870637
2009-12,2009.955510
2010-01,2010.041068
2010-02,2010.120465
2010-03,2010.202601
2010-04,2010.284736
2010-05,2010.369610
2010-06,2010.451745
2010-07,2010.536619
2010-08,2010.621492
2010-09,2010.703628
2010-10,2010.788501
2010-11,2010.870637
2010-12,2010.950034
2011-02,2011.131417
2011-03,2011.202601
2011-04,2011.284736
2011-05,2011.369610
2011-07,2011.542094
2011-08,2011.621492
2011-09,2011.703628
2011-10,2011.788501
2011-12,2011.985626
2012-01,2012.041068
2012-02,2012.123203
2012-03,2012.205339
2012-04,2012.254620
2012-06,2012.454483
2012-07,2012.539357
2012-08,2012.624230
2012-09,2012.700890
2012-11,2012.881588
2012-12,2012.958248
2013-01,2013.041068
2013-02,2013.117728
2013-04,2013.298426
2013-05,2013.369610
2013-06,2013.451745
2013-07,2013.536619
2013-10,2013.788501
2013-11,2013.870637
2013-12,2013.955510
2014-01,2014.019165
2014-03,2014.205339
2014-04,2014.284736
2014-05,2014.369610
2014-06,2014.443532
2014-08,2014.621492
2014-09,2014.703628
2014-10,2014.788501
2014-11,2014.870637
2015-01,2015.057495
2015-02,2015.120465
2015-03,2015.202601
2015-04,2015.284736
2015-07,2015.533881
2015-08,2015.621492
2015-09,2015.700890
2015-12,2015.971937
2016-01,2016.041068
2016-02,2016.117728
2016-03,2016.205339
2016-05,2016.380561
2016-06,2016.454483
2016-07,2016.536619
2016-08,2016.637919
2016-11,2016.906229
2016-12,2016.980151
2017-01,2017.052019
2017-03,2017.243669
2017-04,2017.309377
2017-05,2017.358658
2017-06,2017.438056
2018-06,2018.451745
2018-07,2018.517454
2018-10,2018.829569
2018-11,2018.870637
2018-12,2018.955510
2019-01,2019.041068
2019-02,2019.123203
2019-03,2019.202601
2019-04,2019.284736
2019-05,2019.369610
2019-06,2019.451745
2019-07,2019.536619
2019-08,2019.621492
2019-09,2019.703628
2019-10,2019.788501
2019-11,2019.870637
2019-12,2019.955510
2020-01,2020.041068
2020-02,2020.123203
2020-03,2020.205339
2020-04,2020.287474
2020-05,2020.372348
2020-06,2020.454483
2020-07,2020.539357
2020-08,2020.624230
2020-09,2020.706366
2020-10,2020.791239
2020-11,2020.873374
2020-12,2020.958248
2021-01,2021.041068
2021-02,2021.120465
2021-03,2021.202601
2021-04,2021.284736
2021-05,2021.369610
2021-06,2021.451745
2021-07,2021.536619
2021-08,2021.621492
2021-09,2021.703628
2021-10,2021.788501
2021-11,2021.870637
2021-12,2021.955510
2022-01,2022.041068
2022-02,2022.120465
2022-03,2022.202601
2022-04,2022.284736
2022-05,2022.369610
2022-06,2022.451745
2022-07,2022.536619
2022-08,2022.621492
2022-09,2022.703628
2022-10,2022.788501
2022-11,2022.870637
2022-12,2022.955510
2023-01,2023.041068
2023-02,2023.120465
2023-03,2023.202601
2023-04,2023.284736
2023-05,2023.369610
2023-06,2023.451745
2023-07,2023.536619
2023-08,2023.621492
2023-09,2023.703628
2023-10,2023.788501
2023-11,2023.870637
2023-12,2023.955510
2024-01,2024.041068
2024-02,2024.123203
2024-03,2024.205339
2024-04,2024.287474
2024-05,2024.372348
2024-06,2024.454483
2024-07,2024.539357
2024-08,2024.624230
2024-09,2024.706366
2024-10,2024.791239
2024-11,2024.873374
2024-12,2024.958248
2025-01,2025.041068
2025-02,2025.120465
2025-03,2025.202601
2025-04,2025.284736
2025-05,2025.369610
2025-06,2025.451745
2025-07,2025.536619
2025-08,2025.621492
2025-09,2025.703628
2025-10,2025.788501
2025-11,2025.870637
2025-12,2025.955510
