centre,truncation,filter,stripe_idx
CSR,60,G300,0.219304
CSR,60,G400,0.075225
CSR,60,G500,0.0268412
CSR,60,Swenson_G300,0.0464698
CSR,60,Swenson_G500,0.00818671
CSR,60,DDK2,0.0240905
CSR,60,DDK3,0.114512
CSR,60,DDK5,0.30541
CSR,60,DDK7,0.552755
CSR,60,DDK8,0.619629
CSR,96,G300,0.370461
CSR,96,G400,0.0924952
CSR,96,G500,0.0293137
CSR,96,Swenson_G300,0.0595793
CSR,96,Swenson_G500,0.00823161
CSR,96,DDK2,0.0244309
CSR,96,DDK3,0.11926
CSR,96,DDK5,0.342985
CSR,96,DDK7,0.66122
CSR,96,DDK8,0.749131
JPL,60,G300,0.385818
JPL,60,G400,0.161764
JPL,60,G500,0.0571406
JPL,60,Swenson_G300,0.0474227
JPL,60,Swenson_G500,0.00825044
JPL,60,DDK2,0.0284314
JPL,60,DDK3,0.146189
JPL,60,DDK5,0.394089
JPL,60,DDK7,0.658186
JPL,60,DDK8,0.723918
JPL,96,G300,0.496519
JPL,96,G400,0.165579
JPL,96,G500,0.0561071
JPL,96,Swenson_G300,0.0589123
JPL,96,Swenson_G500,0.00808583
JPL,96,DDK2,0.028092
JPL,96,DDK3,0.14741
JPL,96,DDK5,0.407353
JPL,96,DDK7,0.711566
JPL,96,DDK8,0.788172
GFZ,60,G300,0.411952
GFZ,60,G400,0.179807
GFZ,60,G500,0.0695736
GFZ,60,Swenson_G300,0.0475647
GFZ,60,Swenson_G500,0.00891522
GFZ,60,DDK2,0.0284452
GFZ,60,DDK3,0.147704
GFZ,60,DDK5,0.390979
GFZ,60,DDK7,0.663558
GFZ,60,DDK8,0.732639
GFZ,96,G300,0.526986
GFZ,96,G400,0.193422
GFZ,96,G500,0.0710761
GFZ,96,Swenson_G300,0.0609922
GFZ,96,Swenson_G500,0.0089152
GFZ,96,DDK2,0.0293721
GFZ,96,DDK3,0.154543
GFZ,96,DDK5,0.417944
GFZ,96,DDK7,0.724234
GFZ,96,DDK8,0.799393
