Study_area,area_km2,n_waterbodies,n_reservoirs,vol_total_km3,vol_reservoir_km3,stock_ewh_cm,bound_cmyr
Trinity Aquifer System (Edwards-Trinity Aquifer System),67070,171,38,32.3143,32.1764,48.1799612345311,2.97844374372684
Central Minnesota Surficial and Buried Sand and Gravel Aquifers,75252,3755,66,25.97037,6.966,34.5112023600702,2.13345283234001
Eastern Carrizo-Wilcox (Carrizo-Wilcox),57217,304,34,17.96853,17.2242,31.404180575703,1.94137941928298
Dakota Aquifer System,110336,889,8,33.9470399999999,32.2415,30.7669663573085,1.90198738463704
Eastern Huaihe Plain (Huaihe River Basin),61827,409,15,19.00557,16.562,30.7399194526663,1.90031536826645
Lafayette Area (Gulf Coast Regional Aquifer System),65824,788,14,19.87864,15.3542,30.1996840058337,1.86691847782634
Northern Guarani Aquifer (Guarani Aquifer System),419237,601,22,119.33088,118.7875,28.4638235651911,1.75960907912742
Ozark Plateaus Aquifer System,172612,456,42,43.9456499999999,42.1974,25.4592090932264,1.57386639799964
Central Parana Basin and Torres Syncline (Guarani Aquifer System),494871,624,24,109.6223,106.484,22.151692057122,1.36939854101028
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),318913,2612,1,68.12512,0.472,21.3616628986589,1.32055961826951
Central Piedmont Upland (Piedmont Plateau),57273,201,17,11.532,10.3711,20.1351422136085,1.24473716496456
Southern Piedmont Upland (Piedmont Plateau),61856,341,25,11.92106,9.3392,19.2722775478531,1.19139561383935
Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),81286,518,10,14.56623,13.8144,17.9197278744187,1.10778215692289
Eastern Mississippi Embayment (Mississippi Embayment),60634,292,6,10.6416,10.3808,17.5505491968203,1.08495984875917
Williston Basin (Northern Great Plains),242272,1990,15,38.2548200000001,32.8647,15.790029388456,0.976126029167559
Wisconsin Precambrian Aquifer,65963,2121,38,10.41476,2.4493,15.7887906856875,0.976049453628335
Wuyuer-Shuangyang System (Songnen Plain),63713,1596,0,8.61933999999998,0,13.5283851019415,0.836313125564041
Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),292840,440,0,37.05185,0,12.6525918590357,0.782172340924689
Northcentral Deccan Basalt Plateau (Deccan Plateau),53372,279,13,6.4477,5.9479,12.0806790077194,0.746817180598428
Edwards Plateau (Edwards-Trinity Aquifer System),58050,29,1,6.36963,6.33,10.972661498708,0.678320491661918
Northern Karoo Basin (Main Karoo Basin),89072,336,23,8.46823999999999,7.9632,9.5071851984911,0.587726007853311
Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),330826,3732,2,29.91093,26.5,9.04128756506443,0.558924617068832
Northeastern Karoo Basin (Main Karoo Basin),52358,500,19,4.55024999999999,3.7476,8.69064899346802,0.537248442304039
Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),59488,1334,24,5.05607,1.3456,8.49931078536848,0.525420078929567
Southcentral Deccan Basalt Plateau (Deccan Plateau),57686,305,13,4.56993,4.1675,7.92207814721077,0.489736053958548
Paskapoo-Scollard,65768,553,4,4.81644,0.9326,7.32337915095487,0.452724997202116
Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),61216,574,13,3.95418,3.4695,6.45938970203868,0.399313912949809
Michigan Basin,62295,1229,17,3.58781,0.8139,5.75938678866682,0.356040335211255
Central Karoo Basin (Main Karoo Basin),128536,311,38,6.68269999999999,6.3966,5.19908819319101,0.321403158186758
Central Allegheny Plateau (Appalachian Plateaus),52939,128,21,2.57022,2.3463,4.85505959689454,0.300135606406995
Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),87887,271,8,4.06385,3.0601,4.62394893442716,0.285848544128473
Jiangsu Coastal Plain (Huaihe River Basin),56925,473,3,2.1935,0.7,3.85331576635924,0.238208664823314
Central Huaihe Plain (Huaihe River Basin),79573,161,2,2.94538,2.276,3.70148165835145,0.22882241092247
Central Mississippi Embayment (Mississippi Embayment),89580,1454,9,3.16815999999999,0.3788,3.53668229515516,0.218634656102726
Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),50216,441,10,1.57831,1.0217,3.1430420583081,0.194300155395906
Northern High Plains (High Plains),259376,905,29,7.74374000000001,6.5687,2.98552680278823,0.184562697844602
Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),55195,185,10,1.60853,0.67,2.9142675967026,0.180157515044319
Western Karoo Basin (Main Karoo Basin),146433,148,7,4.11445,3.5043,2.80978331387051,0.173698386590392
Southern Riverine Plains (Murray Basin),51599,178,6,1.40961,0.9595,2.73185526851295,0.168880941884984
Lower Liaohe River Plain (Liaohe River Basin),69968,296,24,1.59406,0.895,2.27827006631603,0.140840695004041
Rio Grande Delta (Gulf Coast Regional Aquifer System),62984,347,2,0.8996,0.0445,1.42829925060333,0.0882962305930677
Central High Plains (High Plains),71803,34,3,0.86734,0.8441,1.20794395777335,0.0746740560103254
Central Eucla Basin (Eucla Basin),63315,122,0,0.67393,0,1.06440811813946,0.0658007939195345
Southern Carpentaria Basin (Great Artesian Basin),124001,204,0,1.23557,0,0.996419383714647,0.0615977888630182
Powder River Basin (Northern Great Plains),63642,32,3,0.53317,0.508,0.837764369441564,0.0517898724063756
Southern High Plains (High Plains),74884,130,2,0.57669,0.3533,0.770111105176006,0.047607605826426
Upper Gangetic Plain (Indo-Gangetic Plain),199268,261,10,1.53444,1.3275,0.770038340325593,0.047603107565989
Central Eromanga Depocenter (Great Artesian Basin),214471,466,0,1.57421,0,0.73399667087858,0.0453750425753308
Southeastern System (Amadeus Basin),59372,43,0,0.41855,0,0.704961934918817,0.0435801401832522
