Study_area,dominance_R,abs_GRACE_trend,area_km2,lon,lat,n_wells,trend_m_yr,continent,trend_cat,anchor,tier,resolution_ratio,ai_mean,climate_zone,abs_trend_m_yr
Central Parana Basin and Torres Syncline (Guarani Aquifer System),1.86255424481883,0.140169909668077,494871,-53.3959128929699,-25.766526593603,12,-0.29,S America,shallowing,other (new),tier1,4.49882727272727,1.30855601419118,humid,0.29
Northern Guarani Aquifer (Guarani Aquifer System),0.448945445411692,0.923266831404929,419237,-50.8574307428778,-20.1107372582477,18,0,S America,stable,other (new),tier1,3.81124545454545,1.02176875213262,humid,0
Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),3.33392727478828,0.0613319041004562,330826,-58.2492363692785,-28.8381119959407,9,-0.18,S America,shallowing,other (new),tier1,3.00750909090909,0.891734722650931,humid,0.18
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),0.266223733653164,0.415123030830477,318913,-55.9432817090423,-2.8580491769155,1,-0.19,S America,shallowing,other (new),tier1,2.89920909090909,1.73655011524099,humid,0.19
Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),2.19331766414364,0.0969105778390422,292840,137.193863448878,-26.5299640820597,23,0.04,Oceania,stable,other (new),tier1,2.66218181818182,0.0597406887381162,arid,0.04
Eastern Eromanga Basin (Great Artesian Basin),236.391799812251,0.000896614176085023,290867,144.824296567856,-27.6363338980049,184,-0.02,Oceania,stable,other (new),tier1,2.64424545454545,0.183268558962221,arid,0.02
Northern Eromanga Basin (Great Artesian Basin),29.9739726487645,0.00640447829893631,281571,142.610186944451,-22.3433104934875,154,-0.09,Oceania,stable,other (new),tier1,2.55973636363636,0.173438835994611,arid,0.09
Northern High Plains (High Plains),2.11049017493935,0.243483955430572,259376,-101.002703922242,41.3394803714914,5421,0,N America,stable,HP,tier1,2.35796363636364,0.376322301358,semi-arid,0
Williston Basin (Northern Great Plains),2.61770002641523,0.188787618685333,242272,-103.274532058273,47.5311407876743,77,-0.02,N America,stable,other (new),tier1,2.20247272727273,0.350411205285494,semi-arid,0.02
Central Eromanga Depocenter (Great Artesian Basin),3.35955604376391,0.0624164133262279,214471,141.44428772563,-26.6377788323591,7,-0.02,Oceania,stable,other (new),tier1,1.94973636363636,0.0997152508115173,arid,0.02
Western Parecis Basin (Parecis Basin),0.272351592385609,0.411288742197094,213494,-58.1210092734183,-12.9251061267287,7,0.02,S America,stable,other (new),tier1,1.94085454545455,1.54251671052632,humid,0.02
Upper Gangetic Plain (Indo-Gangetic Plain),0.546493322075433,1.64727931435757,199268,79.6664694079742,27.3119541616446,397,0.05,S Asia,stable,IGP,tier1,1.81152727272727,0.614263953088458,dry sub-humid,0.05
Stampriet Kalahari Karoo Aquifer System,0.764370885482859,0.14657153669516,194772,19.4543152133407,-24.4535352754216,4,0.06,Africa,stable,other (new),tier1,1.77065454545455,0.122858699855486,arid,0.06
Northcentral Mega Aquifer System (Mega Aquifer System),0.878760631572989,0.323156708316219,179365,47.2340267976724,27.9285364941961,1,0.2,Mid East,deepening,other (new),tier1,1.63059090909091,0.0480167827562625,arid,0.2
Ozark Plateaus Aquifer System,1.92785162020211,0.226562370543875,172612,-92.7719063809266,37.1618744546686,283,-0.06,N America,stable,other (new),tier1,1.5692,0.900862356710376,humid,0.06
