Study_area,n_recipes,n_pos,n_neg,min_trend,max_trend,median_trend,frac_pos,frac_neg,sign_agree,spans_zero,tier,area_km2
Eastern Eromanga Basin (Great Artesian Basin),1920,963,957,-0.235005285491416,0.262753150828366,0.000896614176085023,0.5015625,0.4984375,0.5015625,TRUE,tier1,290867
Delmarva Peninsula (North Atlantic Coastal Plain),1920,972,948,-0.946648096325717,0.724637655920529,0.00946668382322355,0.50625,0.49375,0.50625,TRUE,tier2,18153
Northeastern Judith River (Bearpaw-Judith River Aquifer System),1920,974,946,-1.05185726704849,0.819971570935789,0.00957119180174459,0.507291666666667,0.492708333333333,0.507291666666667,TRUE,tier2,23407
Lake Frome Embayment (Great Artesian Basin),1920,943,977,-0.307511194444259,0.336656448769838,-0.00945168371125271,0.491145833333333,0.508854166666667,0.508854166666667,TRUE,tier2,34046
Northern Mallee (Murray Basin),1920,982,938,-0.273188420070651,0.326499496779248,0.0144082428387808,0.511458333333333,0.488541666666667,0.511458333333333,TRUE,tier2,21895
Northern Eromanga Basin (Great Artesian Basin),1920,931,989,-0.273130522405519,0.27808555366434,-0.00640447829893631,0.484895833333333,0.515104166666667,0.515104166666667,TRUE,tier1,281571
Eastside Lower Indus Valley (Indus Basin),1920,926,994,-0.815042024069238,1.59989817323798,-0.0224463816567225,0.482291666666667,0.517708333333333,0.517708333333333,TRUE,tier1,57275
Northern Piedmont Upland (Piedmont Plateau),1920,994,926,-0.863537214054084,0.831951390953223,0.00979171920166036,0.517708333333333,0.482291666666667,0.517708333333333,TRUE,tier2,15989
Flint Hills Upland (Osage Cuestas Aquifer System),1920,924,996,-0.840079427614402,0.565503923565561,-0.0096450416346667,0.48125,0.51875,0.51875,TRUE,tier2,22649
Tipton Till Plain (Central Lowland Till Plain),1920,1003,917,-1.00897364424379,0.68263500225571,0.0159382908720831,0.522395833333333,0.477604166666667,0.522395833333333,TRUE,tier2,11793
Central Piedmont Upland (Piedmont Plateau),1920,1005,915,-0.898591305127973,0.618665317080614,0.0172610091966411,0.5234375,0.4765625,0.5234375,TRUE,tier1,57273
Eastern Otway Basin (Otway Basin),1920,1007,913,-0.386994457170536,0.293040691319822,0.00991296962382477,0.524479166666667,0.475520833333333,0.524479166666667,TRUE,tier2,17980
Northern Allegheny Plateau (Appalachian Plateaus),1920,911,1009,-0.857453461255385,1.05322730183688,-0.0490521111424751,0.474479166666667,0.525520833333333,0.525520833333333,TRUE,tier2,27131
Daly Basin (Daly-Wiso-Georgina Basins),1920,1010,910,-0.51389595510358,0.310778115221574,0.00873887315066564,0.526041666666667,0.473958333333333,0.526041666666667,TRUE,tier2,26597
Arrowsmith and Dandaragan Plateau (Perth Basin),1920,906,1014,-0.357261399784708,0.510366084142327,-0.0140101173372378,0.471875,0.528125,0.528125,TRUE,tier2,12802
Northern Saurashtra Deccan Trap Basalts (Saurashtra Deccan Trap Basalts),1920,1015,905,-0.673795988029872,0.55048572513957,0.0343197871739189,0.528645833333333,0.471354166666667,0.528645833333333,TRUE,tier2,11532
Hatfield Valley,1920,902,1018,-1.4864987963875,0.991799434423651,-0.0329216958769692,0.469791666666667,0.530208333333333,0.530208333333333,TRUE,tier2,10899
Wimmera Plain (Murray Basin),1920,1022,898,-0.274946577445005,0.300943235370296,0.0243948223893581,0.532291666666667,0.467708333333333,0.532291666666667,TRUE,tier2,20408
Eastern Vindhyan Basin,1920,1023,897,-0.489795227687491,0.757402939529819,0.0362608391480634,0.5328125,0.4671875,0.5328125,TRUE,tier2,23103
Lower Limestone Coast Aquifer System (Murray Basin),1920,1025,895,-0.353848655065423,0.31150552562756,0.0149978709197235,0.533854166666667,0.466145833333333,0.533854166666667,TRUE,tier2,25446
Gambier Embayment (Otway Basin),1920,1035,885,-0.375915473089626,0.316804269253119,0.0174048050751409,0.5390625,0.4609375,0.5390625,TRUE,tier2,12773
Antlers Aquifer,1920,1037,883,-0.770794443241032,0.949885086382285,0.0253297220523961,0.540104166666667,0.459895833333333,0.540104166666667,TRUE,tier2,12607
Northern Cumberland Plateau and Mountains (Appalachian Plateaus),1920,1038,882,-0.745348281982037,0.552261949895912,0.0263653779895959,0.540625,0.459375,0.540625,TRUE,tier2,28114
