Study_area,n_recipes,recipe_median,recipe_iqr,recipe_p05,recipe_p95,recipe_range,sd_total,sd_nonfootprint,sd_footprint,iqr_canon_nf,dominance_R,area_km2,resolution_ratio,tier,n_wells,continent,trend_cat,anchor
Central Parana Basin and Torres Syncline (Guarani Aquifer System),1920,0.140169909668077,0.261074060248149,-0.130634620718963,0.439088766445572,0.750552339561275,0.169780696111076,0.106223879137346,0.137747102920704,0.166703186235389,1.86255424481883,494871,4.49882727272727,tier1,12,S America,shallowing,other (new)
Northern Guarani Aquifer (Guarani Aquifer System),1920,-0.923266831404929,0.414496438858927,-1.35123569884702,-0.57722361072711,0.966457337357468,0.241929165147968,0.0824665001873965,0.233605045320537,0.144327309569135,0.448945445411692,419237,3.81124545454545,tier1,18,S America,stable,other (new)
Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),1920,-0.0613319041004562,0.20447610789521,-0.233478973308145,0.208506025438077,0.752747375890754,0.141343174674444,0.127406939259777,0.0746217570162317,0.195392253233132,3.33392727478828,330826,3.00750909090909,tier1,9,S America,shallowing,other (new)
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),1920,0.415123030830477,0.110515603193107,0.283997124666903,0.558584338997504,0.426350190333667,0.0809697220250612,0.0635802985347061,0.0521437546113264,0.0855782626988192,0.266223733653164,318913,2.89920909090909,tier1,1,S America,shallowing,other (new)
Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),1920,-0.0969105778390422,0.212555682216738,-0.315838446066447,0.1185695350241,0.633001376423985,0.135681672289639,0.126107450495827,0.0602072557220032,0.203499320013114,2.19331766414364,292840,2.66218181818182,tier1,23,Oceania,stable,other (new)
Eastern Eromanga Basin (Great Artesian Basin),1920,0.000896614176085023,0.211952238821917,-0.178747401679072,0.179680041956374,0.497758436319782,0.119435016566337,0.11314349920533,0.0431125417607258,0.210646207726284,236.391799812251,290867,2.64424545454545,tier1,184,Oceania,stable,other (new)
Northern Eromanga Basin (Great Artesian Basin),1920,-0.00640447829893631,0.191967657361923,-0.188926262547614,0.174548983427425,0.551216076069859,0.116410753218414,0.107055400599353,0.0490380023002219,0.183928940219146,29.9739726487645,281571,2.55973636363636,tier1,154,Oceania,stable,other (new)
Northern High Plains (High Plains),1920,0.243483955430572,0.513870495691594,-0.430848803204349,0.715549779624949,1.58652491308567,0.34949139407342,0.312381370619926,0.165101332995553,0.479794836227752,2.11049017493935,259376,2.35796363636364,tier1,5421,N America,stable,HP
Williston Basin (Northern Great Plains),1920,0.188787618685333,0.494189354419463,-0.281613784245585,0.754040432546043,1.48348368548196,0.318730768370907,0.28926167906226,0.141135448776514,0.496431932603885,2.61770002641523,242272,2.20247272727273,tier1,77,N America,stable,other (new)
Central Eromanga Depocenter (Great Artesian Basin),1920,-0.0624164133262279,0.209691438620195,-0.245497632478302,0.131370128587951,0.56300181631062,0.123641038853049,0.119518920035319,0.0389028826031151,0.203032696825551,3.35955604376391,214471,1.94973636363636,tier1,7,Oceania,stable,other (new)
Western Parecis Basin (Parecis Basin),1920,-0.411288742197094,0.112015143867653,-0.543569297273081,-0.27569333049679,0.452119569279385,0.0817310340140934,0.0628388508461395,0.061101800951975,0.0961428396424151,0.272351592385609,213494,1.94085454545455,tier1,7,S America,stable,other (new)
Upper Gangetic Plain (Indo-Gangetic Plain),1920,-1.64727931435757,0.90022714488941,-2.34626462275282,-0.890225949292536,1.83458370062701,0.499261266995214,0.103258854539889,0.50177294845771,0.140873248116134,0.546493322075433,199268,1.81152727272727,tier1,397,S Asia,stable,IGP
Stampriet Kalahari Karoo Aquifer System,1920,0.14657153669516,0.112035015290263,0.020371865847804,0.285265421772391,0.469006684002566,0.0805078422478158,0.0672698433097269,0.0547315657690069,0.0861572869850432,0.764370885482859,194772,1.77065454545455,tier1,4,Africa,stable,other (new)
Northcentral Mega Aquifer System (Mega Aquifer System),1920,-0.323156708316219,0.283977393097009,-0.628792916185512,0.0585200335139915,1.010267120104,0.206765065367878,0.0948112602204021,0.190307698279895,0.142379269829534,0.878760631572989,179365,1.63059090909091,tier1,1,Mid East,deepening,other (new)
Ozark Plateaus Aquifer System,1920,0.226562370543875,0.436778633129841,-0.427314894688187,0.693391337457314,1.45729785636556,0.32803723206974,0.289939433445359,0.161694720017577,0.355583900609619,1.92785162020211,172612,1.5692,tier1,283,N America,stable,other (new)
Western Karoo Basin (Main Karoo Basin),1920,0.0706391884285274,0.129645879205815,-0.104753671617746,0.200196884134763,0.436440462416799,0.0888981276282501,0.0759317669344097,0.054683868740568,0.111831068852718,1.83532515151969,146433,1.33120909090909,tier1,54,Africa,stable,other (new)
Middle Gangetic Plain (Indo-Gangetic Plain),1920,-0.679511921412402,0.23873342994345,-1.04181801284796,-0.3894838132393,1.08335293573542,0.190020352816845,0.104524795282002,0.164962757548849,0.150504358530882,0.351330745525744,145648,1.32407272727273,tier1,101,S Asia,stable,IGP
Northern Mega Aquifer System (Mega Aquifer System),1920,-0.597604505668763,0.325155840519521,-0.827675769572656,-0.0404872940856259,1.07471147900526,0.243154694346161,0.0917728523894265,0.233799154822929,0.145563317674111,0.54409870982423,143434,1.30394545454545,tier1,1,Mid East,stable,other (new)
Canning Basin,1920,0.0267579736715719,0.241665092900024,-0.194026283228034,0.413564514187095,0.979387692911273,0.184846658465087,0.112473199701956,0.153783679339497,0.177216141579823,9.03151695514121,130597,1.18724545454545,tier1,23,Oceania,stable,other (new)
Central Karoo Basin (Main Karoo Basin),1920,0.130066806479593,0.144893155264994,-0.038187161883629,0.388956906815642,0.616316037179429,0.122917354379184,0.0877470109220351,0.102947045921292,0.125460007606204,1.11399025767367,128536,1.16850909090909,tier1,9,Africa,stable,other (new)
Southern Carpentaria Basin (Great Artesian Basin),1920,0.139763098574614,0.178325568644323,-0.0344255723641325,0.30984719105295,0.540093106641057,0.109273803626766,0.101176853417961,0.0465117930949479,0.17561557046846,1.2759131019775,124001,1.12728181818182,tier1,89,Oceania,stable,other (new)
Eastern Parecis Basin (Parecis Basin),1920,-0.394565900458618,0.187833004266856,-0.563924241742869,-0.0597320034955975,0.774492724268579,0.151945341289199,0.0995134228447467,0.138325467643648,0.0810524202650941,0.476049765193929,118059,1.07326363636364,tier1,1,S America,deepening,other (new)
