Study_area,term,term_type,frac,ax1,ax2,tier
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),centre,main,0.0249639704445356,centre,,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),truncation,main,0.00132178825872337,truncation,,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),filter,main,0.0479897964842829,filter,,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),gia_model,main,0.713419471368749,gia_model,,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),c20_treatment,main,0.00039637720528032,c20_treatment,,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),c30_treatment,main,3.84706406792498e-05,c30_treatment,,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),geocenter,main,0.163848361775477,geocenter,,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),centre x truncation,interaction,0.00186348523031727,centre,truncation,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),centre x filter,interaction,0.0332871637362452,centre,filter,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),centre x gia_model,interaction,6.84328390399494e-12,centre,gia_model,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),centre x c20_treatment,interaction,0.000129161874142028,centre,c20_treatment,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),centre x c30_treatment,interaction,2.25183093860607e-06,centre,c30_treatment,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),centre x geocenter,interaction,1.81697477573241e-06,centre,geocenter,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),truncation x filter,interaction,0.00582934507339051,truncation,filter,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),truncation x gia_model,interaction,1.40689843082148e-13,truncation,gia_model,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),truncation x c20_treatment,interaction,9.64306587285972e-07,truncation,c20_treatment,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),truncation x c30_treatment,interaction,6.8213991674403e-08,truncation,c30_treatment,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),truncation x geocenter,interaction,1.23393876742208e-06,truncation,geocenter,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),filter x gia_model,interaction,-3.36042618826786e-16,filter,gia_model,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),filter x c20_treatment,interaction,1.08346373916743e-08,filter,c20_treatment,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),filter x c30_treatment,interaction,4.18227658746437e-09,filter,c30_treatment,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),filter x geocenter,interaction,4.9903528315895e-07,filter,geocenter,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),gia_model x c20_treatment,interaction,2.9644384668639e-17,gia_model,c20_treatment,tier2
Alabama Coastal Lowlands (Gulf Coast Regional Aquifer System),gia_model x c30_treatment,interaction,-3.10561848148738e-16,gia_model,c30_treatment,tier2
