Study_area,abs_GRACE_trend,dominance_R,area_km2,lon,lat,n_wells,trend_m_yr,continent,trend_cat,anchor,abs_trend_m_yr,ai_mean,ai_std,n_pixels,climate_zone,is_anchor,anchor_short
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),0.415123030830478,0.266223733653163,318913,-55.9432817090423,-2.8580491769155,1,-0.19,S America,shallowing,other (new),0.19,1.73655011524099,0.198941690539409,373565,humid,FALSE,
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),0.16639946075655,1.3123269911502,107715,134.624067411426,-28.9905387654296,30,0.02,Oceania,stable,other (new),0.02,0.0702764038764115,0.00849208317518242,143638,arid,FALSE,
Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),0.0909482961015654,4.67035708772512,50216,-87.7797236104302,33.2650588776618,39,0.07,N America,stable,other (new),0.07,1.12286483629507,0.0571592870175286,70004,humid,FALSE,
Canning Basin,0.0267579736715719,9.03151695514119,130597,122.80220364525,-19.3667605544481,23,0.03,Oceania,stable,other (new),0.03,0.200395311727174,0.0729287096369091,161744,semi-arid,FALSE,
Central Allegheny Plateau (Appalachian Plateaus),0.0827299404378283,6.2282567492936,52939,-80.7076474539419,39.49149819541,17,-0.02,N America,stable,other (new),0.02,1.09921011866722,0.100896928102953,79803,humid,FALSE,
Central Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),0.473016268224053,0.495365572872284,81286,76.7633955346208,15.3733213872061,303,0.18,S Asia,deepening,other (new),0.18,0.345970244461809,0.0747713720165355,98543,semi-arid,FALSE,
Central Eromanga Depocenter (Great Artesian Basin),0.0624164133262279,3.35955604376391,214471,141.44428772563,-26.6377788323591,7,-0.02,Oceania,stable,other (new),0.02,0.0997152508115173,0.0308452523853766,280031,arid,FALSE,
Central Eucla Basin (Eucla Basin),0.102168440629784,2.23356880786987,63315,133.208409341311,-31.5685760722495,87,-0.02,Oceania,stable,other (new),0.02,0.13384354496133,0.0340350254478509,86630,arid,FALSE,
Central High Plains (High Plains),0.925677987272022,1.30278772180904,71803,-101.575915225444,36.747158501073,1301,0.45,N America,deepening,HP,0.45,0.257796980271105,0.0375922060312956,104314,semi-arid,TRUE,HP Central
Central Huaihe Plain (Huaihe River Basin),0.380302814072964,1.40752358262916,79573,115.718872122583,33.9028950593564,61,0.17,E Asia,deepening,other (new),0.17,0.662863474259934,0.107855861751457,111713,humid,FALSE,
Central Karoo Basin (Main Karoo Basin),0.130066806479593,1.11399025767367,128536,27.5336023010548,-30.3464150203532,9,0,Africa,stable,other (new),0,0.48554486727702,0.154483756133383,173670,semi-arid,FALSE,
Central Minnesota Surficial and Buried Sand and Gravel Aquifers,0.322508266934809,2.39878827089366,75252,-94.475076895903,46.6560199290738,256,-0.01,N America,stable,other (new),0.01,0.803030276122508,0.102449535612263,127371,humid,FALSE,
Central Mississippi Embayment (Mississippi Embayment),0.157514679435668,2.32557442257509,89580,-90.8765618368462,34.4311006178087,1844,0.01,N America,stable,other (new),0.01,1.02169553813449,0.0459680894864676,126539,humid,FALSE,
Central Parana Basin and Torres Syncline (Guarani Aquifer System),0.140169909668078,1.86255424481883,494871,-53.3959128929699,-25.766526593603,12,-0.29,S America,shallowing,other (new),0.29,1.30855601419118,0.248035518972469,641807,humid,FALSE,
Central Piedmont Upland (Piedmont Plateau),0.0172610091966411,25.2137577004876,57273,-79.1196917143535,36.5236530682044,21,-0.02,N America,stable,other (new),0.02,1.0075083373494,0.0421489600309833,83000,humid,FALSE,
Coonamble Embayment (Great Artesian Basin),0.246061382895791,0.911212854681181,65411,148.504731989458,-30.8165096440184,792,0.11,Oceania,deepening,other (new),0.11,0.317322705210644,0.0662424267846219,88799,semi-arid,FALSE,
Dakota Aquifer System,0.269654488032693,1.61537577007504,110336,-99.1166818106529,44.5218958161265,49,-0.01,N America,stable,other (new),0.01,0.432770637938319,0.0661440105923941,179892,semi-arid,FALSE,
Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),0.432227400416268,1.03645803827182,55195,-90.0551388821338,42.7236375356389,59,-0.03,N America,stable,other (new),0.03,0.919227667952519,0.0261030642182543,87361,humid,FALSE,
Eastern Carrizo-Wilcox (Carrizo-Wilcox),0.0647123105304513,5.60966665843595,57217,-94.5777147869526,32.2532332264476,438,0,N America,stable,other (new),0,0.871528098481677,0.0988766547680901,78837,humid,FALSE,
Eastern Eromanga Basin (Great Artesian Basin),0.000896614176085025,236.39179981225,290867,144.824296567856,-27.6363338980049,184,-0.02,Oceania,stable,other (new),0.02,0.183268558962221,0.0575047031067946,383203,arid,FALSE,
Eastern Huaihe Plain (Huaihe River Basin),0.373853142742331,0.921380363515391,61827,117.716088514225,34.5856811198099,33,0.07,E Asia,stable,other (new),0.07,0.637028641619818,0.0671634270283661,87516,dry sub-humid,FALSE,
Eastern Mississippi Embayment (Mississippi Embayment),0.116473772792321,3.53082304424355,60634,-89.1153230473608,34.1192763673927,170,-0.05,N America,stable,other (new),0.05,1.1149083379219,0.0448292463598564,85357,humid,FALSE,
Eastern Parecis Basin (Parecis Basin),0.394565900458619,0.476049765193929,118059,-53.4555218259645,-11.9506002165003,1,0.12,S America,deepening,other (new),0.12,1.38891764051236,0.122009623085964,141073,humid,FALSE,
Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),0.163550668938176,0.990478081195883,117926,-41.9185847263772,-5.82104274227647,9,0.17,S America,deepening,other (new),0.17,0.735120781636376,0.205477705520811,138709,humid,FALSE,
Eastern Saq Aquifer (Ram-Saq Aquifer System),0.903862897409159,1.06823010446817,67601,44.0574526922778,26.1275325289541,29,1.3,Mid East,rapidly deepening,other (new),1.3,0.0570128764691827,0.00512091684164078,87889,arid,FALSE,
Eastside Lower Indus Valley (Indus Basin),0.0224463816567225,38.3715522836576,57275,69.0398607248861,26.4578981256886,2,-0.03,S Asia,stable,other (new),0.03,0.0696086246836545,0.0201468972324653,74681,arid,FALSE,
Eastside Middle Indus Plain (Indus Basin),1.33836639147945,0.336860252268699,53045,72.337747302107,29.1526327034028,355,-0.06,S Asia,stable,other (new),0.06,0.103621293328627,0.0267302346750322,70825,arid,FALSE,
Edwards Plateau (Edwards-Trinity Aquifer System),0.575857367385143,0.584237943391895,58050,-100.806673362206,30.719893615846,342,0.02,N America,stable,other (new),0.02,0.278421504611398,0.0646238297349393,78718,semi-arid,FALSE,
Jiangsu Coastal Plain (Huaihe River Basin),0.0253877350755101,9.60842253121076,56925,119.806013738276,33.4158651688567,28,0.01,E Asia,stable,other (new),0.01,0.820833220036003,0.164865459814796,79437,humid,FALSE,
Lafayette Area (Gulf Coast Regional Aquifer System),0.131208618680273,2.49649521429734,65824,-93.1101116190547,30.6290250495996,431,-0.04,N America,stable,other (new),0.04,1.07845274472642,0.149689461996716,89171,humid,FALSE,
Lower Liaohe River Plain (Liaohe River Basin),0.0190795339737342,10.5275883613909,69968,122.803337299554,42.4270318660877,25,0,E Asia,stable,other (new),0,0.505358722396618,0.0961545922292272,110222,dry sub-humid,FALSE,
Michigan Basin,0.617960717341416,0.892115284418705,62295,-84.6779367319877,43.45201354931,56,-0.02,N America,stable,other (new),0.02,0.917717626126442,0.0535765726666394,99761,humid,FALSE,
Middle Gangetic Plain (Indo-Gangetic Plain),0.679511921412401,0.351330745525744,145648,84.782614957168,26.1358040659066,101,0.05,S Asia,stable,IGP,0.05,0.807758476035537,0.212723508989699,189322,humid,TRUE,IGP Middle
Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),0.153836064560225,1.35522050691012,64955,149.642192481831,-27.1998727733948,217,0,Oceania,stable,other (new),0,0.337433397488558,0.0363460450941308,85210,semi-arid,FALSE,
Mississippian-Silurian-Devonian Carbonates (Northern Midwest Aquifer System),0.198257777677929,2.5785850385606,87887,-91.9686784194515,41.7323216691694,91,0.03,N America,stable,other (new),0.03,0.862367458671652,0.0381656455494566,136952,humid,FALSE,
Northcentral Deccan Basalt Plateau (Deccan Plateau),0.72592779553151,0.521209679725134,53372,75.6844979683893,19.584477954344,48,0.23,S Asia,deepening,other (new),0.23,0.403596386525412,0.13362320303411,66169,semi-arid,FALSE,
Northcentral Mega Aquifer System (Mega Aquifer System),0.323156708316219,0.878760631572988,179365,47.2340267976724,27.9285364941961,1,0.2,Mid East,deepening,other (new),0.2,0.0480167827562625,0.0138244806943237,236886,arid,FALSE,
Northeastern Karoo Basin (Main Karoo Basin),0.0746846502039183,2.46384154522495,52358,28.9313496568393,-26.9760298984317,30,-0.05,Africa,stable,other (new),0.05,0.482874054890059,0.0547645036753731,68537,semi-arid,FALSE,
Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),0.585606441758706,0.443632710877063,61216,79.0150006885192,17.6319372686315,74,0.11,S Asia,deepening,other (new),0.11,0.471568414881143,0.0731108300398891,75048,semi-arid,FALSE,
Northern Eromanga Basin (Great Artesian Basin),0.00640447829893632,29.9739726487645,281571,142.610186944451,-22.3433104934875,154,-0.09,Oceania,stable,other (new),0.09,0.173438835994611,0.0533665895464728,355531,arid,FALSE,
Northern Georgina Basin (Daly-Wiso-Georgina Basins),0.411427033561069,0.931718811069274,116661,134.927386993097,-17.9131258050471,1,0.1,Oceania,stable,other (new),0.1,0.237780954075687,0.0765067975505689,143301,semi-arid,FALSE,
Northern Guarani Aquifer (Guarani Aquifer System),0.923266831404929,0.44894544541169,419237,-50.8574307428778,-20.1107372582477,18,0,S America,stable,other (new),0,1.02176875213262,0.130579284125597,521658,humid,FALSE,
Northern High Plains (High Plains),0.243483955430572,2.11049017493935,259376,-101.002703922242,41.3394803714914,5421,0,N America,stable,HP,0,0.376322301358,0.0995444534991357,401841,semi-arid,TRUE,HP Northern
Northern Karoo Basin (Main Karoo Basin),0.168308182130551,1.19478895173247,89072,25.8598129629715,-28.7643748464015,33,0.12,Africa,deepening,other (new),0.12,0.288414622951926,0.0571664997123623,118526,semi-arid,FALSE,
Northern Mega Aquifer System (Mega Aquifer System),0.597604505668763,0.54409870982423,143434,43.442314387262,30.9182773228626,1,-0.03,Mid East,stable,other (new),0.03,0.0347966908106001,0.00815505445286837,194942,arid,FALSE,
Ozark Plateaus Aquifer System,0.226562370543875,1.92785162020212,172612,-92.7719063809266,37.1618744546686,283,-0.06,N America,stable,other (new),0.06,0.900862356710376,0.0669161418324954,252199,humid,FALSE,
Paskapoo-Scollard,0.322977990667825,1.77885763531139,65768,-115.481028433771,53.0649872289773,26,-0.01,N America,stable,other (new),0.01,0.712528518760684,0.115093209002038,126941,humid,FALSE,
Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),0.0969105778390422,2.19331766414364,292840,137.193863448878,-26.5299640820597,23,0.04,Oceania,stable,other (new),0.04,0.0597406887381162,0.0120688497469242,382032,arid,FALSE,
Powder River Basin (Northern Great Plains),0.378713261224424,1.43357210176718,63642,-105.847712968912,44.5930206929222,12,-0.01,N America,stable,other (new),0.01,0.276846836125554,0.0295845156565311,103860,semi-arid,FALSE,
Rio Grande Delta (Gulf Coast Regional Aquifer System),0.287591680837426,1.18552796829587,62984,-98.1333665759169,26.2757121856051,159,0.04,N America,stable,other (new),0.04,0.381522552584061,0.0859512830315792,81964,semi-arid,FALSE,
Southcentral Deccan Basalt Plateau (Deccan Plateau),0.632182593004266,0.40978985933077,57686,75.408862273867,17.922879097394,95,0.17,S Asia,deepening,other (new),0.17,0.364434363839128,0.0861690075894098,70839,semi-arid,FALSE,
Southcentral Karoo Basin (Main Karoo Basin),0.0538420201211052,2.99881457899854,72357,23.8231452823691,-32.5068793313863,56,0.12,Africa,deepening,other (new),0.12,0.194432651265127,0.0785691846316281,99990,arid,FALSE,
Southcentral Mega Aquifer System (Mega Aquifer System),0.175576451680655,1.60148780410163,89916,49.6393107315888,24.5367069092908,9,0.22,Mid East,deepening,other (new),0.22,0.0279511644832606,0.0053971637502046,115416,hyper-arid,FALSE,
Southeastern System (Amadeus Basin),0.305718118846323,0.913809811350093,59372,133.660966205573,-24.8250262093272,1,0.44,Oceania,deepening,other (new),0.44,0.101209765553373,0.0157608910250795,76350,arid,FALSE,
Southern Carpentaria Basin (Great Artesian Basin),0.139763098574614,1.2759131019775,124001,140.712904222328,-18.549569033649,89,0.03,Oceania,stable,other (new),0.03,0.313988796487739,0.072994325267648,152836,semi-arid,FALSE,
Southern High Plains (High Plains),1.04739968979984,0.72661451040589,74884,-102.515008660682,33.6665162036171,3143,0.14,N America,deepening,HP,0.14,0.225141109987792,0.0274341752733451,104848,semi-arid,TRUE,HP Southern
Southern Piedmont Upland (Piedmont Plateau),0.136574924971916,2.77744187206896,61856,-84.2623478748794,33.4871024381475,112,-0.06,N America,stable,other (new),0.06,1.07287415852586,0.119942555894497,86396,humid,FALSE,
Southern Riverine Plains (Murray Basin),0.163764807769407,1.46794352607052,51599,144.728290085099,-35.9092349551246,4073,0.1,Oceania,stable,other (new),0.1,0.297404847970241,0.0750736328508774,74196,semi-arid,FALSE,
Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),0.0613319041004562,3.33392727478828,330826,-58.2492363692785,-28.8381119959407,9,-0.18,S America,shallowing,other (new),0.18,0.891734722650931,0.177600799461521,440600,humid,FALSE,
Stampriet Kalahari Karoo Aquifer System,0.14657153669516,0.764370885482862,194772,19.4543152133407,-24.4535352754216,4,0.06,Africa,stable,other (new),0.06,0.122858699855486,0.0301484937322169,249803,arid,FALSE,
Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),0.190940654233997,0.884714317059977,81429,142.613002508794,-16.2884417432858,3,-0.08,Oceania,stable,other (new),0.08,0.518528708278713,0.0905398750772333,99170,dry sub-humid,FALSE,
Trans Gangetic Plain (Indo-Gangetic Plain),2.62935643400395,1.04876714026603,100322,75.927985314064,29.7481368230866,422,0.17,S Asia,deepening,IGP,0.17,0.377598718529017,0.167203107073718,134767,semi-arid,TRUE,IGP Trans
Trinity Aquifer System (Edwards-Trinity Aquifer System),0.250586903040339,1.32848756947751,67070,-97.3925110012785,32.2951646063437,622,0.05,N America,stable,other (new),0.05,0.548730250210852,0.109059448119402,92482,dry sub-humid,FALSE,
Upper Gangetic Plain (Indo-Gangetic Plain),1.64727931435758,0.546493322075433,199268,79.6664694079742,27.3119541616446,397,0.05,S Asia,stable,IGP,0.05,0.614263953088458,0.163345205223619,261684,dry sub-humid,TRUE,IGP Upper
Wadi As-Sirhan Basin,0.997607919319854,0.41547564149834,68037,38.4472391117464,30.4776326878126,4,0.22,Mid East,deepening,other (new),0.22,0.0252675282205056,0.00866069675290449,92043,hyper-arid,FALSE,
Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),0.189889461300216,3.01410374774765,59488,-92.3789663720182,44.7291750900662,82,-0.01,N America,stable,other (new),0.01,0.896799608520083,0.0699579943818434,97323,humid,FALSE,
Western Karoo Basin (Main Karoo Basin),0.0706391884285275,1.8353251515197,146433,21.943352339077,-30.7681497288517,54,0.05,Africa,stable,other (new),0.05,0.128945351909922,0.0421542964022638,198673,arid,FALSE,
Western Parecis Basin (Parecis Basin),0.411288742197094,0.27235159238561,213494,-58.1210092734183,-12.9251061267287,7,0.02,S America,stable,other (new),0.02,1.54251671052632,0.12165411312986,256120,humid,FALSE,
Western Surat Basin (Great Artesian Basin),0.0559186726429756,3.81522286484713,65684,147.679877377498,-28.3120325045684,109,-0.01,Oceania,stable,other (new),0.01,0.249949682304413,0.0305471135929372,87033,semi-arid,FALSE,
Williston Basin (Northern Great Plains),0.188787618685333,2.61770002641523,242272,-103.274532058273,47.5311407876743,77,-0.02,N America,stable,other (new),0.02,0.350411205285494,0.0829313365294733,416839,semi-arid,FALSE,
Wisconsin Precambrian Aquifer,0.480391543281934,0.824581771639572,65963,-89.8861101919984,45.733653943509,45,-0.02,N America,stable,other (new),0.02,1.03089829423336,0.0540645266515985,109804,humid,FALSE,
