centre,recipe_idx_per_centre,truncation,filter,gia_model,c20_treatment,c30_treatment,geocenter,spearman_rho_raw,n_aquifers,skill_score,abs_score,global_rank,kind
CSR,608,96,DDK8,none,replaced,replaced,none,-0.704281493238369,31,0.704281493238369,0.704281493238369,1,best 5
CSR,610,96,DDK8,none,replaced,original,none,-0.704281493238369,31,0.704281493238369,0.704281493238369,2,best 5
CSR,256,60,DDK7,none,replaced,replaced,none,-0.693343558054339,31,0.693343558054339,0.693343558054339,3,best 5
CSR,258,60,DDK7,none,replaced,original,none,-0.693343558054339,31,0.693343558054339,0.693343558054339,4,best 5
CSR,576,96,DDK7,none,replaced,replaced,none,-0.6925333406333,31,0.6925333406333,0.6925333406333,5,best 5
CSR,434,96,Swenson_G300,Caron_2018,replaced,original,none,-0.155764299194796,31,0.155764299194796,0.155764299194796,1916,worst 5
JPL,432,96,Swenson_G300,Caron_2018,replaced,replaced,none,-0.155764299194796,31,0.155764299194796,0.155764299194796,1917,worst 5
JPL,434,96,Swenson_G300,Caron_2018,replaced,original,none,-0.155764299194796,31,0.155764299194796,0.155764299194796,1918,worst 5
CSR,112,60,Swenson_G300,Caron_2018,replaced,replaced,none,-0.155561744839536,31,0.155561744839536,0.155561744839536,1919,worst 5
CSR,114,60,Swenson_G300,Caron_2018,replaced,original,none,-0.153536201286938,31,0.153536201286938,0.153536201286938,1920,worst 5
