aquifer_idx,Study_area,product,trend_cm_yr
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),CSR,0.219067290425301
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),JPL,0.326079994440079
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),GSFC,0.612797021865845
1,Northern Guarani Aquifer (Guarani Aquifer System),CSR,-1.33133089542389
1,Northern Guarani Aquifer (Guarani Aquifer System),JPL,-1.31578207015991
1,Northern Guarani Aquifer (Guarani Aquifer System),GSFC,-0.854816138744354
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),CSR,-0.193390414118767
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),JPL,-0.17752593755722
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),GSFC,-0.309189945459366
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),CSR,0.425366908311844
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),JPL,0.517649412155151
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),GSFC,0.767470002174377
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),CSR,0.020177885890007
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),JPL,0.0353259406983852
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),GSFC,0.141475856304169
5,Eastern Eromanga Basin (Great Artesian Basin),CSR,0.118388123810291
5,Eastern Eromanga Basin (Great Artesian Basin),JPL,0.107517242431641
5,Eastern Eromanga Basin (Great Artesian Basin),GSFC,0.139541298151016
6,Northern Eromanga Basin (Great Artesian Basin),CSR,0.15931436419487
6,Northern Eromanga Basin (Great Artesian Basin),JPL,0.175375536084175
6,Northern Eromanga Basin (Great Artesian Basin),GSFC,-0.00508082285523415
7,Northern High Plains (High Plains),CSR,0.365992605686188
7,Northern High Plains (High Plains),JPL,0.316169559955597
7,Northern High Plains (High Plains),GSFC,0.423652172088623
8,Williston Basin (Northern Great Plains),CSR,0.325713455677032
8,Williston Basin (Northern Great Plains),JPL,0.176003590226173
8,Williston Basin (Northern Great Plains),GSFC,0.569560348987579
9,Central Eromanga Depocenter (Great Artesian Basin),CSR,0.102550484240055
9,Central Eromanga Depocenter (Great Artesian Basin),JPL,0.069590300321579
9,Central Eromanga Depocenter (Great Artesian Basin),GSFC,0.0272741988301277
10,Western Parecis Basin (Parecis Basin),CSR,-0.515230715274811
10,Western Parecis Basin (Parecis Basin),JPL,-0.513933479785919
10,Western Parecis Basin (Parecis Basin),GSFC,-0.429946750402451
11,Upper Gangetic Plain (Indo-Gangetic Plain),CSR,-2.11932110786438
11,Upper Gangetic Plain (Indo-Gangetic Plain),JPL,-2.04782700538635
11,Upper Gangetic Plain (Indo-Gangetic Plain),GSFC,-2.32204389572144
12,Stampriet Kalahari Karoo Aquifer System,CSR,0.160642594099045
12,Stampriet Kalahari Karoo Aquifer System,JPL,0.150277018547058
12,Stampriet Kalahari Karoo Aquifer System,GSFC,0.398368567228317
