centre,recipe_idx_per_centre,truncation,filter,gia_model,c20_treatment,c30_treatment,geocenter,spearman_rho_raw,n_aquifers,skill_score,abs_score,global_rank
CSR,608,96,DDK8,none,replaced,replaced,none,-0.704281493238369,31,0.704281493238369,0.704281493238369,1
CSR,610,96,DDK8,none,replaced,original,none,-0.704281493238369,31,0.704281493238369,0.704281493238369,2
CSR,256,60,DDK7,none,replaced,replaced,none,-0.693343558054339,31,0.693343558054339,0.693343558054339,3
CSR,258,60,DDK7,none,replaced,original,none,-0.693343558054339,31,0.693343558054339,0.693343558054339,4
CSR,576,96,DDK7,none,replaced,replaced,none,-0.6925333406333,31,0.6925333406333,0.6925333406333,5
CSR,578,96,DDK7,none,replaced,original,none,-0.6925333406333,31,0.6925333406333,0.6925333406333,6
CSR,288,60,DDK8,none,replaced,replaced,none,-0.689495025304403,31,0.689495025304403,0.689495025304403,7
CSR,290,60,DDK8,none,replaced,original,none,-0.689495025304403,31,0.689495025304403,0.689495025304403,8
GFZ,612,96,DDK8,none,original,replaced,none,-0.688279699172844,31,0.688279699172844,0.688279699172844,9
GFZ,614,96,DDK8,none,original,original,none,-0.688279699172844,31,0.688279699172844,0.688279699172844,10
CSR,614,96,DDK8,none,original,original,none,-0.687266927396545,31,0.687266927396545,0.687266927396545,11
CSR,612,96,DDK8,none,original,replaced,none,-0.685443938199207,31,0.685443938199207,0.685443938199207,12
CSR,292,60,DDK8,none,original,replaced,none,-0.684836275133427,31,0.684836275133427,0.684836275133427,13
CSR,294,60,DDK8,none,original,original,none,-0.684836275133427,31,0.684836275133427,0.684836275133427,14
GFZ,610,96,DDK8,none,replaced,original,none,-0.684836275133427,31,0.684836275133427,0.684836275133427,15
GFZ,576,96,DDK7,none,replaced,replaced,none,-0.684228612067648,31,0.684228612067648,0.684228612067648,16
CSR,580,96,DDK7,none,original,replaced,none,-0.683620949001868,31,0.683620949001868,0.683620949001868,17
CSR,582,96,DDK7,none,original,original,none,-0.683620949001868,31,0.683620949001868,0.683620949001868,18
GFZ,608,96,DDK8,none,replaced,replaced,none,-0.683013285936089,31,0.683013285936089,0.683013285936089,19
GFZ,578,96,DDK7,none,replaced,original,none,-0.68220306851505,31,0.68220306851505,0.68220306851505,20
CSR,261,60,DDK7,none,original,replaced,GravIS,-0.676531546567775,31,0.676531546567775,0.676531546567775,21
CSR,260,60,DDK7,none,original,replaced,none,-0.674911111725696,31,0.674911111725696,0.674911111725696,22
CSR,293,60,DDK8,none,original,replaced,GravIS,-0.674100894304657,31,0.674100894304657,0.674100894304657,23
CSR,295,60,DDK8,none,original,original,GravIS,-0.674100894304657,31,0.674100894304657,0.674100894304657,24
CSR,262,60,DDK7,none,original,original,none,-0.672885568173098,31,0.672885568173098,0.672885568173098,25
CSR,263,60,DDK7,none,original,original,GravIS,-0.672480459462579,31,0.672480459462579,0.672480459462579,26
CSR,289,60,DDK8,none,replaced,replaced,GravIS,-0.668226818002123,31,0.668226818002123,0.668226818002123,27
CSR,291,60,DDK8,none,replaced,original,GravIS,-0.668226818002123,31,0.668226818002123,0.668226818002123,28
GFZ,580,96,DDK7,none,original,replaced,none,-0.667011491870564,31,0.667011491870564,0.667011491870564,29
GFZ,582,96,DDK7,none,original,original,none,-0.667011491870564,31,0.667011491870564,0.667011491870564,30
CSR,577,96,DDK7,none,replaced,replaced,GravIS,-0.665796165739005,31,0.665796165739005,0.665796165739005,31
CSR,579,96,DDK7,none,replaced,original,GravIS,-0.665796165739005,31,0.665796165739005,0.665796165739005,32
GFZ,611,96,DDK8,none,replaced,original,GravIS,-0.664175730896926,31,0.664175730896926,0.664175730896926,33
CSR,257,60,DDK7,none,replaced,replaced,GravIS,-0.663365513475887,31,0.663365513475887,0.663365513475887,34
CSR,259,60,DDK7,none,replaced,original,GravIS,-0.663365513475887,31,0.663365513475887,0.663365513475887,35
GFZ,609,96,DDK8,none,replaced,replaced,GravIS,-0.662960404765367,31,0.662960404765367,0.662960404765367,36
CSR,581,96,DDK7,none,original,replaced,GravIS,-0.658706763304911,31,0.658706763304911,0.658706763304911,37
CSR,583,96,DDK7,none,original,original,GravIS,-0.658706763304911,31,0.658706763304911,0.658706763304911,38
CSR,609,96,DDK8,none,replaced,replaced,GravIS,-0.658099100239132,31,0.658099100239132,0.658099100239132,39
CSR,611,96,DDK8,none,replaced,original,GravIS,-0.658099100239132,31,0.658099100239132,0.658099100239132,40
