paper_id,region,first_author,year,doi,paper_category,citations,depletion_claim,claim_sign,classifier_method
1,amadeus,Wei Wang,2021,10.3390/rs13081432,mascon,22,,,empty
2,arabian,Petra Döll,2014,10.1002/2014wr015595,own-SHM,808,global GWD of 113 km3/yr during 2000–2009,depleting,regex
3,arabian,Mohd Anul Haq,2021,10.32604/cmc.2022.020495,mascon,108,groundwater depletion rates of 18.17 km3/year,depleting,regex
4,arabian,Yujin Zeng,2018,10.1029/2018ms001304,downstream-use,95,,,empty
5,arabian,Julian Xanke,2022,10.1007/s10040-021-02448-3,mascon,80,overall mean trend of –2.1 mm/year across the Euro-Mediterranean region,depleting,regex
6,arabian,Abdullah Othman,2018,10.1007/s10712-017-9458-7,mascon,66,groundwater storage depletion of -3.7 ± 0.6 km3/year over LMAS,depleting,regex
7,arabian,Youssef Wehbe,2021,10.3390/rs13020247,downstream-use,58,"overall depletion of TWS over the entire AP, especially, the northern part",depleting,regex
8,arabian,Fahad Alshehri,2023,10.3390/w15020282,mascon,53,groundwater depletion rate of -13.81 ± 0.24 mm/yr,depleting,regex
9,arabian,Othman Fallatah,2017,10.1002/hyp.11285,own-SHM,48,TWS depletion rate of -9.05 ± 0.25 mm/year (-4.84 ± 0.13 km3/year) and GWS depletion rate of -6.52 ± 0.29 mm/year (-3.49 ± 0.15 km3/year),depleting,regex
10,arabian,Ahmed Mohamed,2022,10.3389/feart.2022.873352,own-SHM,42,groundwater depletion rate of -6.05 ± 0.34 mm/yr during Period II,depleting,regex
11,arabian,Ahmed Mohamed,2022,10.3389/feart.2022.937402,mascon,39,−0.34 ± 0.01 mm/yr,depleting,regex
12,arabian,Ahmed Mohamed,2023,10.3390/rs15071808,mascon,35,−3.85 ± 0.15 mm/yr,depleting,regex
13,arabian,Othman Fallatah,2019,10.1007/s13369-019-04069-1,mascon,28,−2.11±0.13 km3/yr,depleting,regex
14,arabian,Pierre Séraphin,2022,10.5194/hess-26-5757-2022,mascon,21,natural recharge of (2.4±1.4) mm yr−1,depleting,regex
15,arabian,Esubalew Adem Yibrie,2024,10.1007/s11069-024-06733-8,mascon,16,groundwater storage depletes at ~11.2 mm per year,depleting,regex
16,arabian,Ahmed Mohamed,2023,10.1016/j.aej.2023.11.060,mascon,13,groundwater depletion of -0.21 ± 0.011 cm/yr for the whole study area,depleting,regex
17,arabian,Fahad Alshehri,2023,10.3389/feart.2023.1225992,mascon,9,−0.18 ± 0.022 cm/yr in Wadi Fatimah,depleting,regex
18,arabian,Hussein A. Mohasseb,2024,10.3390/rs16081381,own-SHM,9,−4.89 ± 0.86 mm/year (−14.82 km³/year),depleting,regex
