pk,oa_id,doi,source
10.3390/rs13081432,W3155824539,10.3390/rs13081432,original
10.1002/2014wr015595,W2061903993,10.1002/2014wr015595,original
10.32604/cmc.2022.020495,W3205261621,10.32604/cmc.2022.020495,original
10.1029/2018ms001304,W2884079872,10.1029/2018ms001304,original
10.1007/s10040-021-02448-3,W4205181608,10.1007/s10040-021-02448-3,original
10.1007/s10712-017-9458-7,W2793939917,10.1007/s10712-017-9458-7,region_gap
10.3390/rs13020247,W3119370400,10.3390/rs13020247,original
10.3390/w15020282,W4313897858,10.3390/w15020282,original
10.1002/hyp.11285,W2741778801,10.1002/hyp.11285,original
10.3389/feart.2022.873352,W4226366629,10.3389/feart.2022.873352,original
10.3389/feart.2022.937402,W4285092524,10.3389/feart.2022.937402,original
10.3390/rs15071808,W4361293028,10.3390/rs15071808,original
10.1007/s13369-019-04069-1,W2979932999,10.1007/s13369-019-04069-1,original
10.5194/hess-26-5757-2022,W4309204395,10.5194/hess-26-5757-2022,original
10.1007/s11069-024-06733-8,W4399756140,10.1007/s11069-024-06733-8,original
10.1016/j.aej.2023.11.060,W4389263987,10.1016/j.aej.2023.11.060,original
10.3389/feart.2023.1225992,W4388942654,10.3389/feart.2023.1225992,original
10.3390/rs16081381,W4394815722,10.3390/rs16081381,original
oa::W102949395,W102949395,,original
10.3390/w16020246,W4390749128,10.3390/w16020246,original
10.1016/j.ejrh.2025.102552,W4411541036,10.1016/j.ejrh.2025.102552,original
10.3389/feart.2023.1227691,W4385954768,10.3389/feart.2023.1227691,original
10.1080/16583655.2024.2331991,W4393218656,10.1080/16583655.2024.2331991,original
10.1016/j.jksus.2024.103172,W4392946611,10.1016/j.jksus.2024.103172,original
10.1016/j.gsd.2024.101270,W4400516568,10.1016/j.gsd.2024.101270,original
10.1109/igarss53475.2024.10642338,W4402264111,10.1109/igarss53475.2024.10642338,original
oa::W2790020117,W2790020117,,region_gap
10.1029/2024wr039837,W4412420454,10.1029/2024wr039837,original
oa::W3102984332,W3102984332,,original
10.1080/10106049.2025.2610859,W7117972369,10.1080/10106049.2025.2610859,original
10.1016/j.gsd.2026.101608,W7133344962,10.1016/j.gsd.2026.101608,original
10.2139/ssrn.6533878,W7151544631,10.2139/ssrn.6533878,original
10.1016/j.jhydrol.2025.134035,W4413049227,10.1016/j.jhydrol.2025.134035,original
10.1073/pnas.1200311109,W2117934747,10.1073/pnas.1200311109,original
10.1029/2010gl046442,W2165184011,10.1029/2010gl046442,original
10.1029/2011wr011312,W1484814760,10.1029/2011wr011312,original
10.1016/j.rse.2017.06.026,W2731938692,10.1016/j.rse.2017.06.026,original
10.1002/2014gl059570,W1857304858,10.1002/2014gl059570,original
10.3390/rs10060829,W2803686615,10.3390/rs10060829,original
10.3390/rs10010143,W2786804361,10.3390/rs10010143,original
10.1002/2017gl073333,W2605676989,10.1002/2017gl073333,original
10.1029/2018jb016083,W2916366897,10.1029/2018jb016083,original
10.1029/2020wr027531,W3111894231,10.1029/2020wr027531,original
10.3390/geosciences9100436,W2979409277,10.3390/geosciences9100436,original
10.1088/1748-9326/ac16ff,W3196280317,10.1088/1748-9326/ac16ff,original
10.1038/s41598-018-31210-1,W2888761865,10.1038/s41598-018-31210-1,original
10.1029/2021jb023135,W4220869317,10.1029/2021jb023135,original
10.1016/j.scitotenv.2022.161138,W4313379929,10.1016/j.scitotenv.2022.161138,original
10.1016/j.scitotenv.2021.150635,W3204140070,10.1016/j.scitotenv.2021.150635,original
10.1038/srep28160,W2467442735,10.1038/srep28160,original
10.1038/s41598-019-52371-7,W2982770681,10.1038/s41598-019-52371-7,original
10.1029/2021wr030352,W3204018692,10.1029/2021wr030352,original
